name_trip,address_trip,name_g,address_g
Bian.co Bistrot,rubens,Bianco Bistrot,rubens
Fusho,plinio,Fusho,plinio
Pacinocafe,piazzale francesco bacone,Pacino Cafè,piazzale bacone
Pizzeria da Romano,lodi,Pizzeria Da Romano Milano,lodi
Bischeri Milano,gorizia,Bischeri Milano,gorizia
La Filetteria Italiana Oberdan,guglielmo oberdan,La Filetteria Italiana Oberdan,guglielmo oberdan
Cheers Cafe,monza,Cheers Cafè,monza
Majuda,dei missaglia,Majuda,dei missaglia
IPPO Sushi Boutique,panfilo castaldi,IPPO Sushi Boutique,panfilo castaldi
BistrOlinda,buenos aires,BistrŌlinda,teatro elfo puccini buenos aires
Riad Yacout,cadore,Riad Yacout,cadore
Ristorante Pizzeria San Giovanni,pietro teuliè   porta lodovica,Ristorante Pizzeria San Giovanni,pietro teulié
Al panino 900,savona,Al Panino '900,savona
Cocciuto,giulio cesare procaccini,Cocciuto,giulio cesare procaccini
Fuorimano OTBP,roberto cozzi,Fuorimano OTBP,roberto cozzi
L'insolita Pescheria,sandro botticelli,L’insolita pescheria,sandro botticelli
Toaqui Churrascaria,giovanni battista varè,Toaqui Churrascaria,giovanni battista varè
Locanda Degli Amici,scipione pistrucci,LOCANDA DEGLI AMICI,scipione pistrucci
Brolo Orto Con Cucina,melzo19,Brolo Milano - Orto con cucina,melzo
Pizzeria SAMA,piazzale massari ang marche,Pizzeria Susa,piazzale susa
La Sosta dei Golosi,bastioni di porta volta,La SOSTA dei GOLOSI,bastioni di porta volta
Ama Sushi Fusion Restaurant,monza,Ama Sushi Fusion Restaurant,monza
Doppio Malto Milano Morosini,morosini,Doppio Malto Milano Porta Romana,emilio morosini
La Pena de Pocho,paolo frisi,La Peña de Pocho,paolo frisi
Le Scimmiette,san vito,Le Scimmiette,san vito
Galli Pizza & More,magenta,Galli Pizza & More,magenta
La Forgia degli Eroi,andrea maria ampere,La Forgia Degli Eroi,andrea maria ampère
Le Bollicine Milano,di porta nuova,Le Bollicine Milano,di porta nuova
Ristorante Shu,tonale,Ristorante Shu,tonale
Toyama,santa maria alla porta,Toyama 2,santa maria alla porta
Non Solo Caffé,orti,Non solo caffè,orti
Golden Garden,delle forze armate,golden garden,delle forze armate
Diana Garden - Bar & Ristorante,piave   at sheraton diana majestic,Diana Garden Bar & Restaurant,piave
Michetta Porta Nuova,di porta nuova,Michetta Porta Nuova,di porta nuova
Ramen Shifu Milano,fabio filzi   vicino alla stazione centrale,Ramen Shifu Filzi,fabio filzi
Bis Pizzeria Di Buttacavoli,parenzo,Bis Pizzeria di Buttacavoli,privata parenzo
Panini Durini,mercato,Panini Durini,mercato
This is Not a Sushibar Sanzio,raffaello sanzio,This is Not a Sushi Bar | Sanzio,raffaello sanzio
Caveau di Tradizioni,sempione,Caveau di Tradizioni,sempione
Trattoria Il Cortiletto,monza,Ristorante Il Cortiletto,monza
Pizzeria 4 Stelle,luigi porro lambertenghi,Pizzeria 4 Stelle,luigi porro lambertenghi
Acqua e sale da zio Nino,teodosio,Osteria Acqua e Sale da zio Nino,teodosio
MU Corso Como,como,Mu Corso Como,como
MU Corso Como,como,10 Corso Como,como
Borj Al Arab,buenos aires,Borj Alarab,buenos aires
Wokin,paolo sarpi,Wokin,paolo sarpi
La Piadineria,carmagnola,La Piadineria,pola
Osteria Del Mare,della trivulziana,Osteria del Mare Bicocca,della trivulziana
Grog,giuseppe pecchio,Grog,giuseppe pecchio
Ottocene,giuseppe sirtori,Ottocene,giuseppe sirtori
Terzo Tempo,giorgio washington,Terzo Tempo,giorgio washington
Pizzeria Cigno,michele lessona,Pizzeria Il Cigno,michele lessona
La Stiva,mamiani,La Stiva,privata terenzio mamiani
Toasteria Italiana,lomellina,Toasteria Italiana,lomellina
La Cuccuma Bistrot,privata degli orombelli,La Cuccuma Bistrot,privata degli orombelli
Cia... Birretta?,gorizia,Cià... Birretta?,gorizia
Peck - CityLife,tre torri,Peck - City Life,tre torri
Ayu Sushi,vittor pisani,AYU Sushi,vittor pisani
Emoraya,antonio baiamonti,Emoraya,piazzale antonio baiamonti
Tipinso,felice casati   tunisia,tiPinso,felice casati   tunisia
Un posto a Milano,cuccagna,Un Posto a Milano,privata cuccagna
Anarres Libreria-Bistrot,pietro crespi,Anarres Libreria-Bistrot,pietro crespi
Pizzeria Santa Maria,lazzaro palazzi   angolo lecco,Pizzeria Santa Maria,lazzaro palazzi   lecco
Ono Sushi Reserve,giuseppe broggi   zona lima,Ono sushi reserve,giuseppe broggi
Poke House Navigli,pasquale paoli,Poke House - Navigli,pasquale paoli
La Spianata Sardinia,carlo torre,La Spianata Sardinia,carlo torre
Mi Ami - La Ravioleria Artigianale,felice casati,mi Ami - La Ravioleria Artigianale,felice casati
Dantó il pizzaiolo di spaccanapoli,legnone   dergano,Dantó - Il pizzaiolo di Spaccanapoli,legnone
Osteria Isola,spalato,Osteria Isola,spalato
Fcazz,ripa di porta ticinese,FCAZZ,ripa di porta ticinese
Mama's Cafè,francesco gonin,Mama's Cafè,francesco gonin
Mamma Oliva,battistotti sassi,Mamma Oliva,luisa battistotti sassi
Centoventicinque,giuseppe candiani,125 Centoventicinque,giuseppe candiani
Ricerca Vini,vincenzo monti,Ricerca Vini,vincenzo monti
Mr. Miao,paolo sarpi,Mr. Miao,paolo sarpi
Chalet Marechiaro,felice casati,Chalet Marechiaro,felice casati
Serendepico,castello,Serendepico,castello
Tecà,falcone,Tecà,falcone
Green Sushi 2,novara,Green Sushi 2,novara
Mi Sushi3,di porta ticinese,Misushi 3,di porta ticinese
Trattoria Emanuela,carlo torre,Trattoria Emanuela,carlo torre
Caffè Panzera dal 1931,duca daosta   ang vitruvio,Caffè Panzera dal 1931,duca daosta
Good Morning First,francesco predabissi,Good Morning First,francesco predabissi
Centevot,giulio belinzaghi,Centevot,giulio belinzaghi
Hamerica's,premuda,Hamerica's,premuda
O Peperino e Milano,francesco crispi   angolo xxv aprile,Peperino e Milano,francesco crispi
Ristorante Zula,alessandro tadino   angolo panfilo castaldi,Ristorante Yama,lodi
Panda Club,carlo valvassori peroni,Panda Club,carlo valvassori peroni
Circle,enrico stendhal,Circle,stendhal
Mirror Lounge & Restaurant,polonia,Mirror Lounge & Restaurant,privata polonia
Best Turkish Kebap,venini,BEST TURKISH KEBAP,giulio   corrado venini
Ristorante Pizzeria Da Marco,marco aurelio,Ristorante pizzeria Al Portello,marco ulpio traiano
Ristorante Pizzeria Da Marco,marco aurelio,Ristorante Pizzeria Da Marco,marco aurelio
