Unnamed: 0,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g,address_g_backup
7573,33086,OPERATIONAL,"{'lat': 45.5026784, 'lng': 9.1617716}",Da Ave,ChIJQT1lHFPDhkcRdXdyS8y_hMg,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",giovanni battista varè,4.0,190.0,1.0,"Via Giovanni Battista Varè, 32, Milano"
7574,33087,OPERATIONAL,"{'lat': 45.5023195, 'lng': 9.1624759}",Macondo Cafe,ChIJIxMAaOPAhkcR1BSuOIc7l3A,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",emilio broglio,4.5,81.0,1.0,"Via Emilio Broglio, 25, Milano"
7576,33089,OPERATIONAL,"{'lat': 45.5027176, 'lng': 9.1613726}",Bovisa Kebap Pizza,ChIJJS6BU-PAhkcRHYWFgJTatdE,"['restaurant', 'food', 'point_of_interest', 'establishment']",giovanni battista varè,4.3,798.0,1.0,"Via Giovanni Battista Varè, 37, Milano"
7577,33090,OPERATIONAL,"{'lat': 45.5028839, 'lng': 9.16158}",CIVICO 131,ChIJp23WDtbBhkcRmDcXYzgzAV4,"['cafe', 'bakery', 'liquor_store', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",giuseppe candiani,4.4,62.0,,"Via Giuseppe Candiani, 131, Milano"
7578,33099,OPERATIONAL,"{'lat': 45.502742, 'lng': 9.1635426}",Pizzeria Charlie Brown,ChIJ0wQIfePAhkcRkEYL_Wv5-Vs,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",emilio broglio,3.9,194.0,1.0,"Via Emilio Broglio, 16, Milano"
7580,33109,OPERATIONAL,"{'lat': 45.5022916, 'lng': 9.1648896}",Angolo della Pizza Bausan,ChIJX7emi-PAhkcRxPlvfpeKubw,"['restaurant', 'food', 'point_of_interest', 'establishment']",luigi mercantini,3.9,252.0,1.0,"Via Luigi Mercantini, 2, Milano"
7581,33110,OPERATIONAL,"{'lat': 45.5023779, 'lng': 9.1648819}",Alice Pizza Bausan,ChIJT7rVdPbBhkcRhajCGrFUv10,"['restaurant', 'food', 'point_of_interest', 'establishment']",angelo brofferio,3.8,43.0,2.0,"Via Angelo Brofferio, 1, Milano"
7582,33112,OPERATIONAL,"{'lat': 45.50252500000001, 'lng': 9.164849700000001}",Bistrot da Lu',ChIJkVvRiOPAhkcRT3u60uhGWhc,"['restaurant', 'food', 'point_of_interest', 'establishment']",angelo brofferio,5.0,1.0,,"Via Angelo Brofferio, 1, Milano"
7583,33113,OPERATIONAL,"{'lat': 45.50252500000001, 'lng': 9.164849700000001}",Family Bar,ChIJXz0keOTAhkcR9iwhauOWdcQ,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",angelo brofferio,4.4,40.0,1.0,"Via Angelo Brofferio, 1, Milano"
7584,33123,OPERATIONAL,"{'lat': 45.5025301, 'lng': 9.1658931}",SAKURA SUSHI & POKE STATION,ChIJ40gl9OPAhkcRIgcWLs34s0U,"['restaurant', 'food', 'point_of_interest', 'establishment']",filippo baldinucci,4.1,63.0,,"Via Filippo Baldinucci, 102, Milano"
7586,33134,OPERATIONAL,"{'lat': 45.5026231, 'lng': 9.1668293}",PR Milano srl - Eventi e Comunicazione,ChIJjxrO7dLBhkcRQT6a0uWp-5s,"['restaurant', 'food', 'point_of_interest', 'establishment']",filippo baldinucci,,,,"Via Filippo Baldinucci, 91, Milano"
7587,33139,OPERATIONAL,"{'lat': 45.5029099, 'lng': 9.169794799999998}",Baraonda,ChIJ4XoG1-bAhkcR2CqBfpSS7pI,"['restaurant', 'food', 'point_of_interest', 'establishment']",antonio carnevali,4.5,19.0,,"Via Antonio Carnevali, 74, Milano"
7588,33142,OPERATIONAL,"{'lat': 45.5021699, 'lng': 9.175842099999999}",Pizzeria Capriccio,ChIJ4xWLLtzAhkcRo9nMMcI893E,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ignazio ciaia,4.1,82.0,1.0,"Via Ignazio Ciaia, 3, Milano"
7589,33147,OPERATIONAL,"{'lat': 45.5027317, 'lng': 9.1768358}",Pizzeria Kebap Dergano,ChIJpSW0PtzAhkcRGcU6GQbZbSg,"['restaurant', 'food', 'point_of_interest', 'establishment']",dergano,4.2,102.0,1.0,"Piazza Dergano, 2, Milano"
7592,33151,OPERATIONAL,"{'lat': 45.5029511, 'lng': 9.1797075}",La Grotta,ChIJy3JClNvAhkcRgDuR_2pS7ic,"['restaurant', 'food', 'point_of_interest', 'establishment']",legnone,3.8,299.0,1.0,"Via Legnone, 73, Milano"
7593,33152,OPERATIONAL,"{'lat': 45.5025165, 'lng': 9.180329}",Desiderio 3 Milano,ChIJufrZ9NvAhkcRZw7nZ0DEi3k,"['restaurant', 'food', 'point_of_interest', 'establishment']",giuseppe cesare abba,4.1,62.0,1.0,"Via Giuseppe Cesare Abba, 7, Milano"
7595,33158,OPERATIONAL,"{'lat': 45.5024939, 'lng': 9.1819464}",Mamma Farina - Cuore Mediterraneo,ChIJ9YszNtrAhkcREZJ3hB9eiRU,"['restaurant', 'food', 'point_of_interest', 'establishment']",carlo imbonati,3.9,1090.0,2.0,"Via Carlo Imbonati, 22, Milano"
7597,33163,OPERATIONAL,"{'lat': 45.5028769, 'lng': 9.181175399999999}",Tasty Rosticceria Indiano,ChIJtb8F233BhkcRkv5WWFYh1IE,"['restaurant', 'food', 'point_of_interest', 'establishment']",carlo imbonati,4.8,48.0,,"Via Carlo Imbonati, 55, Milano"
7598,33175,OPERATIONAL,"{'lat': 45.502336, 'lng': 9.184961500000002}",Grill pola,ChIJt_osiKLBhkcR0P0Dcc4ZbF8,"['restaurant', 'food', 'point_of_interest', 'establishment']",benigno crespi,,,,"Via Benigno Crespi, 23, Milano"
7599,33176,OPERATIONAL,"{'lat': 45.50295209999999, 'lng': 9.184067100000002}",Vecchia Osteria del Mare,ChIJy7v0GIvBhkcRX94y8W7cFv8,"['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",giovanni bovio,4.2,335.0,,"Via Giovanni Bovio, 8, Milano"
7600,33192,OPERATIONAL,"{'lat': 45.5029124, 'lng': 9.198162}",Ristorante Cinese Zhao,ChIJaa9PL8LHhkcRG-EIQYFhitU,"['restaurant', 'food', 'point_of_interest', 'establishment']",fulvio testi,3.7,37.0,,"Viale Fulvio Testi, 5, Milano"
7601,33199,OPERATIONAL,"{'lat': 45.5025364, 'lng': 9.2082458}",Birrificio La Cruda,ChIJBeifeiXHhkcRnUxYwDXpIb4,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",privata antonio fortunato stella,4.8,56.0,1.0,"Via Privata Antonio Fortunato Stella, 3, Milano"
7602,33201,OPERATIONAL,"{'lat': 45.50243709999999, 'lng': 9.2109763}",L'Atmosfera Ristorante Pizzeria,ChIJL1nf5iTHhkcRk1bEPMt9lFc,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",emilio de marchi,4.1,377.0,2.0,"Via Emilio de Marchi, 52, Milano"
7604,33205,OPERATIONAL,"{'lat': 45.50231529999999, 'lng': 9.211934399999999}",Refettorio Ambrosiano,ChIJ04Og6yTHhkcRu4_AO-35E1A,"['restaurant', 'food', 'point_of_interest', 'establishment']",greco,4.7,112.0,,"Piazza Greco, 11, Milano"
7605,33219,OPERATIONAL,"{'lat': 45.50244759999999, 'lng': 9.221915599999997}","Antares Hotel Concorde, BW Signature Collection",ChIJHZYWLhjHhkcRdTXtwNMg6Dw,"['bar', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",monza,4.1,1425.0,,"Viale Monza, 132, Milano"
7606,33222,OPERATIONAL,"{'lat': 45.50244759999999, 'lng': 9.221915599999997}",Sushi Daily Milano Monza 134,ChIJLXlF1RnHhkcRxwV-hg1Seqw,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",monza,4.5,10.0,,"Viale Monza, 132, Milano"
7607,33223,OPERATIONAL,"{'lat': 45.5029721, 'lng': 9.2215315}",Pizzeria S. Stefano,ChIJ62DJiRfHhkcRgT9e45exiJA,"['meal_takeaway', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",monza,4.5,100.0,1.0,"Viale Monza, 173, Milano"
7610,33239,OPERATIONAL,"{'lat': 45.5021194, 'lng': 9.2375761}",Ristorante Rody,ChIJbzYg1ZTHhkcRxUVFbf3oTGw,"['restaurant', 'food', 'point_of_interest', 'establishment']",padova,4.8,4.0,,"Via Padova, 179, Milano"
7611,33240,OPERATIONAL,"{'lat': 45.50236100000001, 'lng': 9.237902}",HELA Chicken Pizza & Kebab,ChIJ45toXaDHhkcRpt2TgmzI5LE,"['restaurant', 'food', 'point_of_interest', 'establishment']",padova,3.9,56.0,1.0,"Via Padova, 181, Milano"
7613,33250,OPERATIONAL,"{'lat': 45.50256419999999, 'lng': 9.242571}",Strippoli Milano,ChIJZwgG-qfHhkcRLN5aRIVwRC0,"['restaurant', 'food', 'point_of_interest', 'establishment']",picco madre anna eugenia,4.1,894.0,1.0,"Via Picco Madre Anna Eugenia, 31, Milano"
7615,33252,OPERATIONAL,"{'lat': 45.50243, 'lng': 9.2426893}",Pizzeria Ramez,ChIJ1UqY4AfHhkcRf_Az_hGdWHo,"['restaurant', 'food', 'point_of_interest', 'establishment']",picco madre anna eugenia,4.0,1.0,,"Via Picco Madre Anna Eugenia, Milano"
