,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g
2828,12165,OPERATIONAL,"{'lat': 45.4620129, 'lng': 9.0887646}",Casa Baggio - Hidden Kitchen,ChIJM4k-_wbphkcRcT4O5asU2UA,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']","Via Antonio Ceriani, 21/Scala D, Milano",5.0,4.0,
2829,12166,OPERATIONAL,"{'lat': 45.4622116, 'lng': 9.0891693}",Trattoria La Belle Epoqué,ChIJXUMGG_7phkcR8Bj4j_TFXC8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Antonio Ceriani, 26, Milano",4.4,122.0,1.0
2830,12172,OPERATIONAL,"{'lat': 45.4619444, 'lng': 9.0936111}",Istanbul Doner Kebap,ChIJ_WjzPAHChkcRpOuKC-ocW1U,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Francesco Rismondo, 16, Milano",3.8,298.0,1.0
2831,12186,OPERATIONAL,"{'lat': 45.4623954, 'lng': 9.114321000000002}",Tito,ChIJU9lPe1nDhkcRMYegcUmGJgE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Alessio Olivieri, 7, Milano",,,
2832,12194,OPERATIONAL,"{'lat': 45.461842, 'lng': 9.1339588}",Juga Korean fast food,ChIJsd_EgHDDhkcRXyuTcCUKSqU,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Privata Carlo Antonio Carlone, 4 Facciata, Via Crimea, Milano",4.9,30.0,
2833,12196,OPERATIONAL,"{'lat': 45.46236109999999, 'lng': 9.1340968}",Pizzootto Gusto All'Infinito,ChIJVQdhW5fDhkcRVihQJOe-Z8c,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Vincenzo Giordano Orsini, 11, Milano",4.7,221.0,1.0
2834,12208,OPERATIONAL,"{'lat': 45.46166669999999, 'lng': 9.1380556}",Pazzeria,ChIJDX5cb9XDhkcRBimZwwj8mxw,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Piazzale Giovanni delle Bande Nere, 2, Milano",4.1,1215.0,2.0
2835,12209,OPERATIONAL,"{'lat': 45.46166669999999, 'lng': 9.1380556}",Marmara Turkish KEBAP E PIZZA,ChIJDyoCZ9XDhkcRdoRaLBBJhe0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Piazzale Giovanni delle Bande Nere, 2, Milano",4.0,273.0,1.0
2836,12210,OPERATIONAL,"{'lat': 45.4624035, 'lng': 9.137210699999997}",Ju Cai - Take Away Rosticceria Cinese,ChIJJ8tBX9XDhkcRZlAJmLq56Ls,"['restaurant', 'food', 'point_of_interest', 'establishment']","Piazzale Giovanni delle Bande Nere, 8, Milano",4.2,77.0,1.0
2837,12211,OPERATIONAL,"{'lat': 45.46228440000001, 'lng': 9.1376776}",Sapori Solari - La Salumeria,ChIJWRKW4X_BhkcRJm41SiNbTLU,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Sofonisba Anguissola, 54, Milano",4.5,849.0,2.0
2838,12215,OPERATIONAL,"{'lat': 45.4621805, 'lng': 9.1382404}",Lojer Sushi,ChIJLZ4M33_BhkcRk4mgQvMTq-k,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Sofonisba Anguissola, 31, Milano",4.4,685.0,2.0
2839,12230,OPERATIONAL,"{'lat': 45.461949, 'lng': 9.149044}",Let's Feel Good Milano,ChIJ_w8NumLBhkcRKpqxLj7JIiM,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Viale Ergisto Bezzi, 73, Milano",4.2,209.0,
2840,12237,OPERATIONAL,"{'lat': 45.4618696, 'lng': 9.151320499999999}",Ba Ghetto Milano,ChIJAQBwZGLBhkcRo5ihFEyQLMA,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Sardegna, 45, Milano",4.2,693.0,2.0
2841,12238,OPERATIONAL,"{'lat': 45.46184179999999, 'lng': 9.151362999999998}",Enoteca La Cocota Milano,ChIJacuzZmLBhkcR8X2yaYdAlXU,"['liquor_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Via Sardegna, 45, Milano",4.4,114.0,2.0
2842,12239,OPERATIONAL,"{'lat': 45.4618618, 'lng': 9.151364799999998}",סלמון,ChIJv4pWYWLBhkcRMwGLOHJ5aCg,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Sardegna, 45, Milano",,,
2843,12240,OPERATIONAL,"{'lat': 45.4623569, 'lng': 9.1510598}",Quintessenza Tigella Milano,ChIJ8X--X2LBhkcRANh--GHC2DI,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Via Sardegna, 34a, Milano",4.3,113.0,2.0
2845,12254,OPERATIONAL,"{'lat': 45.4622194, 'lng': 9.154752799999999}",Borgia - Milano,ChIJCRPwkmHBhkcRmhfIHTD4MoQ,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giorgio Washington, 56, Milano",4.5,244.0,2.0
2846,12259,OPERATIONAL,"{'lat': 45.4619985, 'lng': 9.156859599999999}",Nudo & Crudo Bistrò,ChIJ3TgPS2DBhkcRVGsW6lDdy-o,"['restaurant', 'point_of_interest', 'food', 'establishment']","Piazza Po, 10, Milano",4.4,203.0,2.0
2848,12265,OPERATIONAL,"{'lat': 45.4624093, 'lng': 9.1619333}",Pizzeria Donna Angela,ChIJD-X_5YDBhkcRgRTp8i4-i8k,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Paolo Giovio, 30, Milano",3.1,54.0,
2849,12270,OPERATIONAL,"{'lat': 45.46245940000001, 'lng': 9.1729865}",Maison Caffet,ChIJF2njElfBhkcRlHZY3Ra0YF4,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Via San Vittore, 3, Milano",4.8,194.0,
2850,12271,OPERATIONAL,"{'lat': 45.4622077, 'lng': 9.173333800000002}",Osteria la Carbonaia carne,ChIJT4FHDlfBhkcRmZUaVd7B3TE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giosuè Carducci, 38, Milano",4.5,408.0,2.0
2851,12272,OPERATIONAL,"{'lat': 45.4623565, 'lng': 9.1733283}",Alice pizza San Vittore,ChIJnd6QVVHBhkcRxOj_BakRiV8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via San Vittore, 3, Milano",4.3,82.0,2.0
2852,12273,OPERATIONAL,"{'lat': 45.4624926, 'lng': 9.1728816}",Bebel,ChIJb7keE1fBhkcR540YBXwITgQ,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via San Vittore, 3, Milano",4.3,687.0,2.0
2853,12274,OPERATIONAL,"{'lat': 45.4623056, 'lng': 9.1740721}",California Bakery,ChIJr0ANWgfEhkcRRhjY51_cJjo,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via San Vittore, 2, Milano",3.4,553.0,2.0
2854,12280,OPERATIONAL,"{'lat': 45.4623315, 'lng': 9.1780349}",Mensa&Pizza.9,ChIJp6ttPVTBhkcRW6GUq3vug4s,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Lodovico Necchi, 9, Milano",4.2,106.0,1.0
2855,12285,OPERATIONAL,"{'lat': 45.4623234, 'lng': 9.181767299999999}",Lautrec S.R.L.,ChIJWay4v1TBhkcRayO6gXHhTqo,"['restaurant', 'food', 'point_of_interest', 'establishment']","Piazza Mentana, 8, Milano",,,
2856,12289,OPERATIONAL,"{'lat': 45.4618944, 'lng': 9.183238700000002}",La Fettunta,ChIJ683Rin_HhkcRL8dnyglHZOU,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Santa Marta, 19/a, Milano",4.3,393.0,2.0
2857,12293,OPERATIONAL,"{'lat': 45.4616876, 'lng': 9.184745800000002}",Ronchi 78,ChIJWVH2E6vGhkcRF7fqoeBAX-M,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via San Maurilio, 7, Milano",4.1,525.0,2.0
2858,12294,OPERATIONAL,"{'lat': 45.4625137, 'lng': 9.1835702}",Tin Bòta,ChIJpc1mTqvGhkcRJu-jPtKMeKw,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via San Maurilio, 18, Milano",4.5,228.0,1.0
2859,12297,OPERATIONAL,"{'lat': 45.4618902, 'lng': 9.184678299999998}",La Corte di San Maurilio Ristorante pizzeria duomo Milano,ChIJUQu-FKvGhkcRfFYOzy2O_LU,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via San Maurilio, 8, Milano",4.0,594.0,2.0
