id,link
88,https://www.tripadvisor.it/Restaurant_Review-g187849-d12082335-Reviews-Shannara_5-Milan_Lombardy.html
89,https://www.tripadvisor.it/Restaurant_Review-g187849-d8289378-Reviews-Macelleria_Equina_Da_Vito-Milan_Lombardy.html
90,https://www.tripadvisor.it/Restaurant_Review-g187849-d17370347-Reviews-Sapori_Solari_La_Bisteccheria-Milan_Lombardy.html
91,https://www.tripadvisor.it/Restaurant_Review-g187849-d13360558-Reviews-TheLab_unconventional_burger_experienceR-Milan_Lombardy.html
92,https://www.tripadvisor.it/Restaurant_Review-g187849-d15656743-Reviews-Thai_Chokdee_restaurant-Milan_Lombardy.html
93,https://www.tripadvisor.it/Restaurant_Review-g187849-d8610996-Reviews-Contraste-Milan_Lombardy.html
94,https://www.tripadvisor.it/Restaurant_Review-g187849-d13156511-Reviews-Cous_Cous_Restaurant-Milan_Lombardy.html
95,https://www.tripadvisor.it/Restaurant_Review-g187849-d3488355-Reviews-Pizza_AM-Milan_Lombardy.html
96,https://www.tripadvisor.it/Restaurant_Review-g187849-d2705955-Reviews-Nuovo_Yacht-Milan_Lombardy.html
97,https://www.tripadvisor.it/Restaurant_Review-g187849-d8311151-Reviews-MooKuzai_A_La_Carte-Milan_Lombardy.html
98,https://www.tripadvisor.it/Restaurant_Review-g187849-d11913769-Reviews-Sakeya_The_House_of_Sake-Milan_Lombardy.html
99,https://www.tripadvisor.it/Restaurant_Review-g187849-d12411539-Reviews-Un_Altra_Pasta-Milan_Lombardy.html
100,https://www.tripadvisor.it/Restaurant_Review-g187849-d12178641-Reviews-Ristorante_Himalaya-Milan_Lombardy.html
101,https://www.tripadvisor.it/Restaurant_Review-g187849-d13543428-Reviews-Kowa-Milan_Lombardy.html
102,https://www.tripadvisor.it/Restaurant_Review-g187849-d10255882-Reviews-Seoul_Ristorante_Coreano-Milan_Lombardy.html
103,https://www.tripadvisor.it/Restaurant_Review-g187849-d2361980-Reviews-Botinero_Restaurant-Milan_Lombardy.html
104,https://www.tripadvisor.it/Restaurant_Review-g187849-d13915464-Reviews-Monkey_in_The_City-Milan_Lombardy.html
