title,r_bubbles,r_number,cook_type,expensive
96. Contraste Ristorante,"Punteggio 4,5 su 5",1.121 recensioni,"Mediterranea, Italiana",€€€€
97. Nuovo Yacht,"Punteggio 4,5 su 5",734 recensioni,"Italiana, Mediterranea",€€ - €€€
98. Sakeya The House of Sake,"Punteggio 4,5 su 5",237 recensioni,"Giapponese, Pesce",€€€€
99. Un'Altra Pasta,"Punteggio 4,5 su 5",488 recensioni,"Italiana, Pizza",€
100. Pizzium - Stazione Centrale Milano,"Punteggio 4,5 su 5",490 recensioni,"Pizza, Campana",€€ - €€€
101. Kowa,"Punteggio 4,5 su 5",365 recensioni,"Asiatica, Fusion",€€€€
102. Seoul Ristorante Coreano,"Punteggio 4,5 su 5",304 recensioni,"Asiatica, Coreana",€€ - €€€
103. Ristorante Himalaya,"Punteggio 4,5 su 5",161 recensioni,"Indiana, Nepalese",€€ - €€€
104. Monkey in The City,"Punteggio 4,5 su 5",247 recensioni,"Cubana, Internazionale",€€ - €€€
105. Cantine Milano Ristorante e Wine Bar,"Punteggio 4,5 su 5",708 recensioni,"Italiana, Pesce",€€€€
106. Botinero,"Punteggio 4,5 su 5",1.927 recensioni,"Italiana, Steakhouse",€€€€
107. Slice Milano,"Punteggio 5,0 su 5",71 recensioni,"Italiana, Pizza",€€ - €€€
108. Chiosco al Politico,"Punteggio 4,5 su 5",324 recensioni,"Italiana, Fast food",€
109. Cipiace,"Punteggio 5,0 su 5",127 recensioni,"Italiana, Mediterranea",€
110. Ristorante Acanto,"Punteggio 4,5 su 5",496 recensioni,"Italiana, Pesce",€€€€
111. La cantina del Giannone,"Punteggio 4,5 su 5",857 recensioni,"Italiana, Pesce",€€ - €€€
112. ALventicinque,"Punteggio 4,5 su 5",272 recensioni,"Italiana, Mediterranea",€€ - €€€
113. Trippa,"Punteggio 4,5 su 5",945 recensioni,"Italiana, Lombarda",€€ - €€€
114. Testone,"Punteggio 4,5 su 5",345 recensioni,"Mediterranea, Barbecue",€
115. DA NOI IN Via Forcella 6,"Punteggio 4,5 su 5",360 recensioni,"Italiana, Pesce",€€€€
116. Ristorante Delfino,"Punteggio 4,5 su 5",1.279 recensioni,"Italiana, Pesce",€€ - €€€
117. San Maurì,"Punteggio 4,5 su 5",673 recensioni,"Italiana, Pesce",€€ - €€€
118. Ristorante Omega 3,"Punteggio 4,5 su 5",650 recensioni,"Italiana, Pesce",€€ - €€€
119. Sushi Li,"Punteggio 4,5 su 5",384 recensioni,"Giapponese, Pesce",€€ - €€€
120. Olo-olo Ravioleria,"Punteggio 4,5 su 5",128 recensioni,"Cinese, Asiatica",€
121. Nerino Dieci Trattoria,"Punteggio 4,5 su 5",4.828 recensioni,"Italiana, Europea",€€ - €€€
122. Mastro Tortello,"Punteggio 4,5 su 5",125 recensioni,"Italiana, Italiana (nord)",€€ - €€€
123. Icon Cafè Milano,"Punteggio 4,5 su 5",572 recensioni,"Italiana, Bar",€
124. Pasta d'Autore,"Punteggio 4,5 su 5",1.274 recensioni,"Italiana, Pizza",€
125. Porcobrado Milano,"Punteggio 4,5 su 5",171 recensioni,"Italiana, Toscana",€€ - €€€
126. Gong Oriental Attitude,"Punteggio 4,5 su 5",1.030 recensioni,"Cinese, Pesce",€€€€
127. Il Capestrano Ristorante Abruzzese,"Punteggio 4,5 su 5",1.208 recensioni,"Steakhouse, Barbecue",€€ - €€€
128. Je suis Jambon,"Punteggio 4,5 su 5",390 recensioni,"Italiana, Bar",€
129. Ristorante La Brioschina,"Punteggio 4,5 su 5",156 recensioni,"Italiana, Mediterranea",€€€€
130. Taverna Greca Rebetiko,"Punteggio 4,5 su 5",271 recensioni,"Mediterranea, Greca",€€ - €€€
131. Poku Poke Place,"Punteggio 4,5 su 5",246 recensioni,"Hawaiana, Pesce",€€ - €€€
132. Il Principe dei Navigli,"Punteggio 4,5 su 5",1.911 recensioni,"Italiana, Pesce",€€ - €€€
133. Zibo Cuochi Itineranti,"Punteggio 4,5 su 5",347 recensioni,"Italiana, Mediterranea",€€ - €€€
134. Balafon,"Punteggio 4,5 su 5",338 recensioni,"Africana, Pesce",€€ - €€€
135. Meat Art,"Punteggio 4,5 su 5",667 recensioni,"Mediterranea, Europea",€€ - €€€
136. MU Dimsum,"Punteggio 4,5 su 5",650 recensioni,"Cinese, Pesce",€€€€
137. Ristorante Pizzeria One Way della Speranza,"Punteggio 4,5 su 5",1.163 recensioni,"Italiana, Pizza",€€ - €€€
138. La rosa dei venti,"Punteggio 4,5 su 5",924 recensioni,"Italiana, Pesce",€€ - €€€
139. Trattoria Arlati dal 1936,"Punteggio 4,5 su 5",1.365 recensioni,"Italiana, Mediterranea",€€ - €€€
140. Ramen Shop,"Punteggio 4,5 su 5",284 recensioni,"Giapponese, Asiatica",€
141. La Mongolfiera,"Punteggio 4,5 su 5",554 recensioni,"Italiana, Pizza",€€ - €€€
142. Crocca - Via Fiamma,"Punteggio 4,5 su 5",269 recensioni,"Italiana, Pizza",€€ - €€€
143. Taglieri e Bicchieri,"Punteggio 4,5 su 5",486 recensioni,"Italiana, Mediterranea",€€ - €€€
144. Ristorante Berton,"Punteggio 4,5 su 5",929 recensioni,"Italiana, Pesce",€€€€
145. Gelmetti 1952,"Punteggio 5,0 su 5",97 recensioni,"Italiana, Pesce",€€ - €€€
146. Sadler,"Punteggio 4,5 su 5",1.003 recensioni,"Italiana, Pesce",€€€€
147. Achar,"Punteggio 4,5 su 5",230 recensioni,"Asiatica, Nepalese",€€ - €€€
148. Fishion Restaurant,"Punteggio 4,5 su 5",287 recensioni,"Pesce, Italiana",€€€€
149. Bomaki Sempione,"Punteggio 4,0 su 5",2.974 recensioni,"Giapponese, Brasiliana",€€ - €€€
150. Bab,"Punteggio 4,5 su 5",223 recensioni,"Asiatica, Zuppe",€€ - €€€
151. Amalfitana,"Punteggio 4,5 su 5",420 recensioni,Italiana,€
152. Nico Ristorante Pizzeria,"Punteggio 4,5 su 5",374 recensioni,"Italiana, Pizza",€€ - €€€
153. Movida,"Punteggio 4,5 su 5",799 recensioni,"Italiana, Bar",€€ - €€€
154. Ristorante Il Cestino,"Punteggio 4,0 su 5",2.169 recensioni,"Italiana, Pesce",€€ - €€€
155. Tigella's,"Punteggio 4,0 su 5",1.019 recensioni,"Italiana, Emiliana",€€ - €€€
156. Canter 1920,"Punteggio 4,5 su 5",591 recensioni,"Italiana, Pesce",€€€€
157. Ristorante Glauco,"Punteggio 4,5 su 5",792 recensioni,"Italiana, Pesce",€€€€
158. Taac Trattoria,"Punteggio 4,5 su 5",181 recensioni,"Pesce, Mediterranea",€€ - €€€
159. Rossini,"Punteggio 4,5 su 5",984 recensioni,"Italiana, Pizza",€€ - €€€
160. La Scalea,"Punteggio 4,5 su 5",378 recensioni,"Italiana, Pizza",€
161. PaninoLAB - Tortona District,"Punteggio 4,5 su 5",637 recensioni,"Italiana, Mediterranea",€€ - €€€
162. Shannara 2 Da Danilo,"Punteggio 4,5 su 5",1.423 recensioni,"Pesce, Mediterranea",€€ - €€€
163. Visca Bistrot,"Punteggio 4,5 su 5",258 recensioni,"Italiana, Pesce",€€ - €€€
164. Neta,"Punteggio 4,5 su 5",204 recensioni,"Sushi, Pesce",€€ - €€€
165. Bem Brasil,"Punteggio 4,5 su 5",714 recensioni,"Barbecue, Sudamericana",€€ - €€€
166. Sauris & borc da bria,"Punteggio 4,5 su 5",442 recensioni,"Italiana, Italiana (nord)",€€ - €€€
167. Portobello,"Punteggio 4,5 su 5",941 recensioni,"Italiana, Pizza",€
168. Ristorante Le Tournedos,"Punteggio 4,5 su 5",1.706 recensioni,"Italiana, Pesce",€€ - €€€
169. Trattoria de la Trebia,"Punteggio 4,5 su 5",1.406 recensioni,"Steakhouse, Italiana",€€ - €€€
170. Angus and More,"Punteggio 4,5 su 5",389 recensioni,"Fast food, Americana",€
171. Trattoria la Vecchia Guardia,"Punteggio 4,5 su 5",1.157 recensioni,"Italiana, Salutistica",€€ - €€€
172. Valentino Legend Milano,"Punteggio 4,5 su 5",1.369 recensioni,"Lombarda, Italiana (nord)",€€ - €€€
173. Lungo la Notte,"Punteggio 4,5 su 5",270 recensioni,"Italiana, Steakhouse",€€ - €€€
174. Stravagario Bistrot,"Punteggio 4,5 su 5",370 recensioni,"Italiana, Pesce",€€ - €€€
