title,r_bubbles,r_number,cook_type,expensive
57. Ristorante Enrico Bartolini,"Punteggio 4,5 su 5",355 recensioni,"Italiana, Pesce",€€€€
58. Maison Touareg,"Punteggio 4,5 su 5",288 recensioni,"Marocchina, Pesce",€€ - €€€
59. Cibario,"Punteggio 4,5 su 5",255 recensioni,"Italiana, Mediterranea",€
60. Iyo,"Punteggio 4,5 su 5",3.333 recensioni,"Giapponese, Pesce",€€€€
31. Focus Bracerie Italiane,"Punteggio 4,5 su 5",299 recensioni,"Italiana, Barbecue",€€ - €€€
32. Casa Del Pane,"Punteggio 4,5 su 5",198 recensioni,Cibo di strada,€
33. Crotto Quartino - Milano -,"Punteggio 4,5 su 5",1.062 recensioni,Italiana (nord),€€ - €€€
61. Drinc. Cocktail & Conversation,"Punteggio 4,5 su 5",185 recensioni,€€ - €€€,?
62. Soprattutto,"Punteggio 4,5 su 5",165 recensioni,"Italiana, Bar",€€ - €€€
63. Pizzium - Via Procaccini,"Punteggio 4,5 su 5",3.211 recensioni,"Pizza, Mediterranea",€€ - €€€
91. MooKuzai,"Punteggio 4,5 su 5",829 recensioni,"Sushi, Giapponese",€€ - €€€
92. Sapori Solari - La Bisteccheria,"Punteggio 4,5 su 5",248 recensioni,"Italiana, Steakhouse",€€€€
93. theLab - unconventional burger experience®,"Punteggio 4,5 su 5",522 recensioni,"Contemporanea, Cibo di strada",€
94. Thai Chokdee restaurant,"Punteggio 4,5 su 5",166 recensioni,"Tailandese, Pesce",€€ - €€€
95. Contraste Ristorante,"Punteggio 4,5 su 5",1.123 recensioni,"Mediterranea, Italiana",€€€€
121. Olo-olo Ravioleria,"Punteggio 4,5 su 5",128 recensioni,"Cinese, Asiatica",€
122. Icon Cafè Milano,"Punteggio 4,5 su 5",572 recensioni,"Italiana, Bar",€
123. Pasta d'Autore,"Punteggio 4,5 su 5",1.274 recensioni,"Italiana, Pizza",€
124. Mastro Tortello,"Punteggio 4,5 su 5",125 recensioni,"Italiana, Italiana (nord)",€€ - €€€
125. Taverna Greca Rebetiko,"Punteggio 4,5 su 5",273 recensioni,"Mediterranea, Greca",€€ - €€€
126. Gong Oriental Attitude,"Punteggio 4,5 su 5",1.031 recensioni,"Cinese, Pesce",€€€€
127. Il Capestrano Ristorante Abruzzese,"Punteggio 4,5 su 5",1.208 recensioni,"Steakhouse, Barbecue",€€ - €€€
