,Index,business_status,geometry,name_google,place_id,price_level_google,rating_google,types,total_reviews_google,address
3433,11706,OPERATIONAL,"{'lat': 45.47363169999999, 'lng': 9.2329026}",Acqua e Sale 2,ChIJF75Hs4rGhkcRNg3F0iumy4A,2.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",461.0,"Via Gaetano Strambio, 19, Milano"
3434,11707,OPERATIONAL,"{'lat': 45.473664, 'lng': 9.2333249}",Mediterranea 2,ChIJg9iaVfXGhkcR1qUtz2ugIcY,1.0,4.6,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",87.0,"Via Gaetano Strambio, 23, Milano"
3435,11714,OPERATIONAL,"{'lat': 45.4728519, 'lng': 9.2314674}",Art Cafè,ChIJFT9_kTHHhkcRugSsXfZ2i08,,4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",11.0,"Via Vigilio Inama, 5, Milano"
3436,11716,OPERATIONAL,"{'lat': 45.472818, 'lng': 9.2325845}",Visconti 22 Milano,ChIJ__-PpYrGhkcRBo0Lo9OGT2k,2.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",103.0,"Via Alessandro Visconti d'Aragona, 22, Milano"
3437,11717,OPERATIONAL,"{'lat': 45.47366779999999, 'lng': 9.233149699999998}",Liguori,ChIJZdcGU_XGhkcRbS1vOKZvVWA,,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",2.0,"Via Gaetano Strambio, 19, Milano"
3438,11718,OPERATIONAL,"{'lat': 45.4727966, 'lng': 9.2331341}",Gennaro Rapido A' Rot e Carrett,ChIJS-zYVBPHhkcRAR3VWUHwAMU,2.0,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",789.0,"Via Vigilio Inama, 17, Milano"
3439,11727,OPERATIONAL,"{'lat': 45.4757646, 'lng': 9.2347514}",Mensa Politecnico,ChIJGYMeeF_GhkcRlUJPSlqRZYw,1.0,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",349.0,"Via Camillo Golgi, 20, Milano"
3440,11767,OPERATIONAL,"{'lat': 45.4740703, 'lng': 9.2483107}",Crema & Cioccolato Pitteri 31 Hakuna Matata srls,ChIJlXrqACjHhkcRWwUJDFG6gEI,,4.3,"['night_club', 'cafe', 'bar', 'restaurant', 'store', 'food', 'point_of_interest', 'establishment']",31.0,"Via Riccardo Pitteri, 31, Milano"
3441,11787,OPERATIONAL,"{'lat': 45.4758041, 'lng': 9.2692935}",BIRRERIA PIZZERIA REDECESIO,ChIJEwZcvpzHhkcRVaz0pAvdnKw,,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",57.0,"Via Abruzzi, 43, Segrate"
3442,11817,OPERATIONAL,"{'lat': 45.4761864, 'lng': 9.086739600000001}",Pizzeria Daniele 2,ChIJXVoMjc7rhkcR2tlfv4_txcc,,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",31.0,"Via Giuseppe Chiostergi, 15, Milano"
3443,11820,OPERATIONAL,"{'lat': 45.47769419999999, 'lng': 9.0908181}",Il Brigantino Milano,ChIJ8wMqnu_rhkcRH0Savxi4ZEQ,,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",44.0,"Via Enzo Ferrieri, 16, Milano"
3444,11824,OPERATIONAL,"{'lat': 45.4780156, 'lng': 9.101827700000001}",Royal Restaurant,ChIJleBthTfBhkcRqrbupus2vrM,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Via Caldera, 21, Milano"
3445,11825,OPERATIONAL,"{'lat': 45.47745510000001, 'lng': 9.1036256}",My Chef Ristorazione Commerciale S.p.A.,ChIJc9NpDQjqhkcR3uFq0QYv_UI,2.0,3.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",278.0,"Via Caldera, 21, Milano"
3446,11826,OPERATIONAL,"{'lat': 45.4781776, 'lng': 9.103068000000002}",Silene Bar & Restaurant,ChIJVWwlIM7BhkcRvqD5DjCM_xA,,4.7,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",3.0,"Via Caldera, 3, Milano"
3447,11827,OPERATIONAL,"{'lat': 45.4781776, 'lng': 9.103068000000002}",El Patio del Gaucho,ChIJQ-lGXDLBhkcRg2_qK7GHouQ,,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",252.0,"Via Caldera, 3, Milano"
3448,11832,OPERATIONAL,"{'lat': 45.4782211, 'lng': 9.10642}",Ristorante Pizzeria Grisea,ChIJMZaPKuTBhkcR7owy3qJ7zNc,2.0,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",446.0,"Via Novara, 228, Milano"
3449,11833,OPERATIONAL,"{'lat': 45.4776608, 'lng': 9.1079289}",L'Angolo Dello Sfizio Thebro Di Esposito Giovanni,ChIJKY0wQu_BhkcR0h9X7t7_tBk,,4.4,"['meal_takeaway', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",54.0,"Via Novara, 216, Milano"
3450,11834,OPERATIONAL,"{'lat': 45.4776539, 'lng': 9.107234199999999}",Cappellomet Srl,ChIJqSCxXe_BhkcRBRl7OXhf7vs,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Via Novara, 221, Milano"
3451,11835,PERMANENTLY_CLOSED,"{'lat': 45.4777356, 'lng': 9.107170499999999}",Focacceria,ChIJM-NvXe_BhkcRK9PrRkabGh0,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,Italy
3452,11836,OPERATIONAL,"{'lat': 45.47775350000001, 'lng': 9.1071101}",Pizza Haus,ChIJyV5-W-_BhkcRZOFv-_kpsVY,1.0,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",1022.0,"Via Novara, 221, Milano"
3453,11853,OPERATIONAL,"{'lat': 45.4786478, 'lng': 9.117250000000002}",Tenconi Old Pub,ChIJ9U_SXOvBhkcRzjpbQAFJMhQ,2.0,3.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",610.0,"Via Federico Tesio, 15, Milano"
3454,11880,OPERATIONAL,"{'lat': 45.47786989999999, 'lng': 9.1358175}",VITANTICA S.R.L.,ChIJHdyDyp7BhkcRiQeBtUTsqfM,,3.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",3.0,"Via degli Ottoboni, 16, Milano"
3455,11894,OPERATIONAL,"{'lat': 45.47532469999999, 'lng': 9.1427879}",Sushi Bar,ChIJxSsqcHbBhkcR3vZxPil_Nog,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,Italy
3456,11898,OPERATIONAL,"{'lat': 45.4758352, 'lng': 9.143732199999999}",GROUSE ROTISSERIE,ChIJ0cPVzFnBhkcRZDne1VgaLFA,,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",45.0,"Piazzale Fratelli Zavattari, 4, Milano"
3457,11899,OPERATIONAL,"{'lat': 45.47599140000001, 'lng': 9.143870800000002}",Burger King,ChIJHRLQV1XBhkcRemUmXEtXSYk,1.0,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.0,"Piazzale Fratelli Zavattari, 6, Milano"
3458,11901,OPERATIONAL,"{'lat': 45.4761591, 'lng': 9.144086500000002}",Da Mario Steak House,ChIJRcOrrjPBhkcRTUKNKE2njYY,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",136.0,"Via Mosè Bianchi, Via Mose Bianchi, 103, Milano"
3459,11902,OPERATIONAL,"{'lat': 45.4761591, 'lng': 9.144086500000002}",Vizi e Sfizi,ChIJWyfXJCDBhkcRXL1lR7s5I0Q,,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"Via Mosè Bianchi, 103, Milano"
3460,11905,OPERATIONAL,"{'lat': 45.4761325, 'lng': 9.1444884}",Panattonin,ChIJ2_st8OvBhkcRo2tdDOWHhE8,,4.8,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",143.0,"Via Mosè Bianchi, 101, Milano"
3461,11911,OPERATIONAL,"{'lat': 45.4783496, 'lng': 9.1454723}",Centro Sociale Cantiere,ChIJfer093TBhkcRZm6PgbqoANU,,3.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",66.0,"Via Monte Rosa, 84, Milano"
3462,11924,OPERATIONAL,"{'lat': 45.47832620000001, 'lng': 9.146171400000004}",Self Service Pellegrini,ChIJhcNi_IjBhkcRC4-OSgxV-rY,,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",29.0,"Via Monte Bianco, 54, Milano"
3463,11925,PERMANENTLY_CLOSED,"{'lat': 45.47832620000001, 'lng': 9.146171400000004}",Puro Gusto,ChIJETQAi3TBhkcRneXammKKYFs,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Monte Bianco, 54, Milano"
3464,11927,OPERATIONAL,"{'lat': 45.47802859999999, 'lng': 9.146796}",Il Ghiottone,ChIJKXRwfXTBhkcRsrpAjqVcfFA,,4.0,"['restaurant', 'store', 'point_of_interest', 'food', 'establishment']",12.0,"Via Guglielmo Silva, 45, Milano"
3465,11928,OPERATIONAL,"{'lat': 45.47688000000001, 'lng': 9.149262000000002}",inlingua Amendola / Tre Torri,ChIJQxbguXPBhkcRrZSRTxw-iZQ,,5.0,"['school', 'restaurant', 'point_of_interest', 'food', 'establishment']",1.0,"Via Sebastiano del Piombo, 7, Milano"
3466,11931,OPERATIONAL,"{'lat': 45.4785972, 'lng': 9.147651900000001}",Piadineria,ChIJoxlLfXPBhkcRRidVP89A2XQ,,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",37.0,"Via Guglielmo Silva, 35, Milano"
3467,11936,PERMANENTLY_CLOSED,"{'lat': 45.4772849, 'lng': 9.149017899999999}",Pane Pizza Focaccia,ChIJrYlRu3PBhkcRiJqzDIZ1ZOI,,2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,"Via Sebastiano del Piombo, 14, Milano"
3468,11937,OPERATIONAL,"{'lat': 45.4771621, 'lng': 9.149182199999998}",Streat Takeout & Delivery,ChIJ_THxunPBhkcRXq3-mWGs5_E,2.0,4.4,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",233.0,"Via Sebastiano del Piombo, 12, Milano"
3469,11938,OPERATIONAL,"{'lat': 45.4780285, 'lng': 9.146795700000002}",Blu Istanbul - Kebab Pizza Grill,ChIJMwWmbd3BhkcR3g5J3SZvhuM,,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",50.0,"Via Guglielmo Silva, 45, Milano"
3470,11939,PERMANENTLY_CLOSED,"{'lat': 45.478048, 'lng': 9.1468619}",Birreria Babilonia,ChIJ23GCh3TBhkcRn0bZ8gbUO8U,,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,"Via Guglielmo Silva, 45, Milano"
3471,11940,OPERATIONAL,"{'lat': 45.47810339999999, 'lng': 9.1471166}",Da Peppino,ChIJQ4rqh3TBhkcROSaOQYhPsDg,,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",197.0,"Via Guglielmo Silva, 43, Milano"
3472,11941,OPERATIONAL,"{'lat': 45.4781013, 'lng': 9.1470977}",Regina Margherita,ChIJ8xCMOhnBhkcRLTdbzOpftcE,,3.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",4.0,"Via Guglielmo Silva, 43, Milano"
3473,11943,OPERATIONAL,"{'lat': 45.4780886, 'lng': 9.147632999999999}",I Love Poke - Piombo,ChIJofI3RcLBhkcRVA8QYJRLrps,2.0,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",193.0,"Via Sebastiano del Piombo, 23, Milano"
3474,11944,OPERATIONAL,"{'lat': 45.4780098, 'lng': 9.148152500000002}",ZioGelato,ChIJc1-TfnPBhkcRDOJSwDBV-Ys,2.0,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",97.0,"Via Sebastiano del Piombo, 22, Milano"
3475,11948,OPERATIONAL,"{'lat': 45.47631519999999, 'lng': 9.150822600000001}",Ristorante Raffaello Srl,ChIJUyeIO3LBhkcREJy8LleYx2w,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Monte Amiata, 4, Milano"
3476,11950,OPERATIONAL,"{'lat': 45.47631519999999, 'lng': 9.150822600000001}",Lo Zenzero,ChIJUyeIO3LBhkcRR5FVrw3JLhU,2.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",825.0,"Via Monte Amiata, 4, Milano"
3477,11958,OPERATIONAL,"{'lat': 45.4782033, 'lng': 9.147777099999997}",I love poke - CityLife,ChIJqTMCs3LBhkcRBDezWVxe-68,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,"Via Antonia Pozzi, 1, Milano"
3478,11961,OPERATIONAL,"{'lat': 45.4781247, 'lng': 9.154365199999999}",Bomaki CityLife Shopping District,ChIJn_6B_mzBhkcR367K-atiCz8,3.0,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",1514.0,"Piazza Tre Torri, 1L, Milano"
3479,11963,OPERATIONAL,"{'lat': 45.4783067, 'lng': 9.154285}",VIVO,ChIJD5BOcm3BhkcRuWoQWASqU7k,2.0,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",888.0,"Piazza Tre Torri, 1/l, Milano"
3480,11968,OPERATIONAL,"{'lat': 45.4782273, 'lng': 9.1543302}",Fra Diavolo Pizzeria - Milano Citylife Shopping District,ChIJzUL8DLnBhkcR-xuGp6C5_eI,2.0,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",139.0,"Piazza Tre Torri, Milano"
3481,11970,OPERATIONAL,"{'lat': 45.4778765, 'lng': 9.156742699999999}",That's Vapore City Life,ChIJO9xy5WzBhkcRjLuUw9cizOo,2.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",647.0,"Piazza Tre Torri, 1/L, Milano"
3482,11972,OPERATIONAL,"{'lat': 45.4782555, 'lng': 9.1560813}",Red Bistrot e Libreria,ChIJjTwt5W3BhkcRR1TISYGwvuw,2.0,3.9,"['book_store', 'movie_rental', 'electronics_store', 'home_goods_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1784.0,"Piazza Tre Torri, 1, Milano"
3483,11973,OPERATIONAL,"{'lat': 45.47846699999999, 'lng': 9.1548384}",Panino Giusto,ChIJA-cRcm3BhkcRYD4J3Ub2B7w,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",456.0,"Piazza Tre Torri, Milano"
3484,11974,OPERATIONAL,"{'lat': 45.4784731, 'lng': 9.1549576}",East River | Brooklyn Brewery,ChIJaUFecm3BhkcR3EutRyMG8eE,2.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1048.0,"Piazza Tre Torri, Milano"
3485,11975,OPERATIONAL,"{'lat': 45.4785659, 'lng': 9.154654899999999}",Antica Focacceria San Francesco,ChIJESEid23BhkcRXk-IiXVXkxY,2.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",1071.0,"Piazza Tre Torri, Milano"
3486,11976,OPERATIONAL,"{'lat': 45.4777884, 'lng': 9.1566406}",Buon Boccone,ChIJXYerOXrBhkcRpK2Bq0r-ZSU,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Piazza Tre Torri, Milano"
3487,11977,OPERATIONAL,"{'lat': 45.4778211, 'lng': 9.156607500000002}",laFeltrinelli RED,ChIJRwvypxTBhkcRXpe0DBMygn0,,2.8,"['book_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.0,"Piazza Tre Torri, Milano"
3488,11978,OPERATIONAL,"{'lat': 45.4778211, 'lng': 9.156607500000002}",La Piadineria,ChIJZ-Z05mzBhkcRcxZHsjjbPlg,1.0,4.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",834.0,"Shopping District, Piazza Tre Torri, Milano"
3489,11979,OPERATIONAL,"{'lat': 45.4782462, 'lng': 9.1545814}",Meatball Family,ChIJI_CRG23BhkcRTh_6tYtW2Cg,2.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",482.0,"Piazza Tre Torri, 1, Milano"
3490,11981,OPERATIONAL,"{'lat': 45.47759499999999, 'lng': 9.157344199999999}",DaV Milano,ChIJg_DRo6XBhkcRfiTb2S6oMaM,,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",59.0,"Torre Allianz, Piazza Tre Torri, c/o, 3, Milano"
3491,11982,OPERATIONAL,"{'lat': 45.4782477, 'lng': 9.155998799999999}",Billy Tacos - Milano City Life,ChIJOSrcUxbBhkcR_7aLVP3CIU0,2.0,2.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",178.0,"Piazza Tre Torri, 143, Milano"
3492,11983,OPERATIONAL,"{'lat': 45.47835439999999, 'lng': 9.1545574}",wagamama - Milano City Life,ChIJt5Kwi0jBhkcRu95pLa8b-bM,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",378.0,"CityLife, Milano"
3493,11984,OPERATIONAL,"{'lat': 45.477998, 'lng': 9.156874}",California Bakery,ChIJn_6B_mzBhkcR_i-S21H2unc,2.0,3.8,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2301.0,"Piazza Tre Torri, Milano"
3494,11985,OPERATIONAL,"{'lat': 45.478398, 'lng': 9.1542658}",Roadhouse Meatery,ChIJ67Nqcm3BhkcRTjmIkWJ1wzM,2.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",1655.0,"Shopping District, Piazza Tre Torri c/o, Milano"
3495,11986,OPERATIONAL,"{'lat': 45.4784474, 'lng': 9.155011600000002}",Dispensa Emilia _ Milano Citylife,ChIJ9SqlOTbBhkcRTg8MhOi1JDw,2.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",126.0,"Piazza Tre Torri, Milano"
3496,11987,OPERATIONAL,"{'lat': 45.4779046, 'lng': 9.1572815}",Mediterranea - Real Healthy Food,ChIJn3XK2CXBhkcRVfdmaKF2s7I,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",21.0,"Piazza Tre Torri, 1, Milano"
3497,11988,OPERATIONAL,"{'lat': 45.4784891, 'lng': 9.155831000000001}",Calavera Restaurant - Milano CityLife,ChIJhUDVDG3BhkcRs9Y6c3_OLn0,2.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",2120.0,"CityLife Shopping District, Piazza Tre Torri, Milano"
3498,12000,OPERATIONAL,"{'lat': 45.4782307, 'lng': 9.156921500000001}",Panini Durini,ChIJp8yu_GzBhkcRVTNBEMPHcU8,2.0,3.7,"['cafe', 'restaurant', 'store', 'food', 'point_of_interest', 'establishment']",506.0,"Piazza Tre Torri, 1/l, Milano"
3499,12001,OPERATIONAL,"{'lat': 45.4782664, 'lng': 9.1568182}",Peck - City Life,ChIJjw-BWBXBhkcRkd0aJ-iHuNo,3.0,4.2,"['restaurant', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",432.0,"Piazza Tre Torri, Milano"
3500,12002,OPERATIONAL,"{'lat': 45.4780802, 'lng': 9.1594543}",Ecooking Bistrot - Citylife,ChIJnTbK4ELBhkcRaSByIUSXB68,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Galleria Anna Castelli Ferrieri, 2, Milano"
3501,12005,OPERATIONAL,"{'lat': 45.478604, 'lng': 9.157836}",Poke House - CityLife,ChIJicR_cjTBhkcRgap8YZCyGgM,2.0,3.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",565.0,"Piazza Tre Torri, 1, Milano"
3502,12006,OPERATIONAL,"{'lat': 45.4773012, 'lng': 9.162139}",Al Sale Grosso,ChIJ08QC-2rBhkcRfdOZoJPRsFc,2.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",428.0,"Via Ippolito Nievo, 33, Milano"
3503,12007,OPERATIONAL,"{'lat': 45.4780017, 'lng': 9.1607083}",Ryu Sushi,ChIJRxHRFWvBhkcRtUl8KVyrud4,2.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",219.0,"Piazza Sei Febbraio, 26, Milano"
3504,12009,PERMANENTLY_CLOSED,"{'lat': 45.4779902, 'lng': 9.1608005}",Jacaranda Restaurant,ChIJRxHRFWvBhkcRPUxLYt8p_W0,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Piazza Sei Febbraio, 26, Milano"
3505,12011,OPERATIONAL,"{'lat': 45.47667020000001, 'lng': 9.1619126}",pablosegret,ChIJ_SGbMenBhkcRt9RiKv2MnsA,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Vincenzo Monti, 92, Milano"
3506,12013,OPERATIONAL,"{'lat': 45.4776344, 'lng': 9.161399699999999}",carrefour market,ChIJ9xXqmqHBhkcRLYC8Fn3j7d4,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Piazza Sei Febbraio, 18, Milano"
3507,12015,OPERATIONAL,"{'lat': 45.47765080000001, 'lng': 9.1615724}",Succulenta,ChIJX4eeptDBhkcReUA5JIU0Iq8,,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",65.0,"Piazza Sei Febbraio, 16, Milano"
3508,12018,OPERATIONAL,"{'lat': 45.4781376, 'lng': 9.160340999999997}",Cantun Bakery and Bistrot,ChIJ6fRxV5jBhkcRkQTl6xGucxo,2.0,4.2,"['restaurant', 'bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",190.0,"Viale Severino Boezio, 2, Milano"
3509,12019,OPERATIONAL,"{'lat': 45.4781376, 'lng': 9.160340999999997}",Ristorante Vivo,ChIJrWN6amvBhkcRDsdan5jxsQM,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Viale Severino Boezio, 2, Milano"
3510,12021,OPERATIONAL,"{'lat': 45.4782768, 'lng': 9.161980300000002}",Dolce Pane,ChIJD7JA0FXBhkcR541ic3owJos,,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,"Via Francesco Ferrucci, 22, Milano"
3511,12023,OPERATIONAL,"{'lat': 45.47825419999999, 'lng': 9.1625146}",Dav S.r.l.,ChIJN_aa22rBhkcRK3qB8E9C02s,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"Via Francesco Ferrucci, 11, Milano"
3512,12026,OPERATIONAL,"{'lat': 45.4785472, 'lng': 9.162235399999998}",Meet Point,ChIJn937JWvBhkcRctDykF6W9gI,,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"Via Giovanni Prati, 5, Milano"
3513,12031,OPERATIONAL,"{'lat': 45.47828379999999, 'lng': 9.162586999999998}",Ristorante Pizzeria Al Mercante in Fiera,ChIJGwWk22rBhkcRiF_nTusneyk,2.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",250.0,"Via Francesco Ferrucci, 11, Milano"
3514,12035,OPERATIONAL,"{'lat': 45.4785452, 'lng': 9.1623018}",Ristorante Pizzeria Washington 3,ChIJ69v9D97BhkcRl-JXSMtbA2o,,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",158.0,"Via Giovanni Prati, 5, Milano"
3515,12036,OPERATIONAL,"{'lat': 45.47729810000001, 'lng': 9.170707499999999}",Jazz Cafè Milano,ChIJLSqJSkfBhkcRBeDhzDk-V1M,2.0,4.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2015.0,"Corso Sempione, 8, Milano"
3516,12037,OPERATIONAL,"{'lat': 45.47639110000001, 'lng': 9.171056600000002}",Old Wild West,ChIJo9i0JkfBhkcR9-GfYAjH-fE,2.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",1662.0,"Corso Sempione, 3, Milano"
3517,12038,OPERATIONAL,"{'lat': 45.4777508, 'lng': 9.1701383}",Taverna dei Golosi,ChIJ7WtZsUDBhkcRGeXro9WuAYA,2.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",1155.0,"Corso Sempione, 12, Milano"
3518,12039,OPERATIONAL,"{'lat': 45.4768933, 'lng': 9.170396499999999}",Pizzeria Starita Milano,ChIJiX5-K0fBhkcRPvhDyiaVJQ8,1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",2654.0,"Via Giovanni Gherardini, 1, Milano"
3519,12040,OPERATIONAL,"{'lat': 45.47676899999999, 'lng': 9.170658900000001}",Panino Giusto,ChIJK0fxLUfBhkcR9fe_ucpgNEc,2.0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",173.0,"Corso Sempione, 5, Milano"
3520,12041,OPERATIONAL,"{'lat': 45.47807710000001, 'lng': 9.168459}",RUCOLA,ChIJ723wj0DBhkcRhW0oAYR8uiE,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",76.0,"Corso Sempione, 17, Milano"
3521,12042,OPERATIONAL,"{'lat': 45.4763663, 'lng': 9.1705989}",La Posteria di Nonna Papera,ChIJS8tAKUfBhkcRTQg7p8UaJ24,2.0,4.3,"['restaurant', 'store', 'food', 'point_of_interest', 'establishment']",371.0,"Via Giuseppe Piermarini, 4, Milano"
3522,12043,OPERATIONAL,"{'lat': 45.47805719999999, 'lng': 9.1685079}",La Piadineria,ChIJkaWZkEDBhkcRVzfDpBDB1f0,1.0,4.8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"Corso Sempione, 17, Milano"
3523,12044,OPERATIONAL,"{'lat': 45.4776381, 'lng': 9.1703446}",Bomaki Sempione,ChIJ3WiTtUDBhkcRYJaY1mrkblU,3.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1627.0,"Corso Sempione, 10, Milano"
3524,12045,OPERATIONAL,"{'lat': 45.47676570000001, 'lng': 9.171603999999999}",Deseo,ChIJ4fbmHkfBhkcRTJFbLfcQXzo,2.0,3.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1522.0,"Corso Sempione, 2, Milano"
3525,12047,OPERATIONAL,"{'lat': 45.4768311, 'lng': 9.170026499999999}",Slice Milano,ChIJH0-d8EXBhkcRAyUGsWOibIw,,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",275.0,"Via Giovanni Gherardini, 2, Milano"
3526,12048,OPERATIONAL,"{'lat': 45.477366, 'lng': 9.1696469}",Le Voyage,ChIJpy51oxXBhkcRcROlFcfrgOQ,,2.8,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",33.0,"Corso Sempione, 11, Milano"
3527,12049,PERMANENTLY_CLOSED,"{'lat': 45.4768109, 'lng': 9.170424299999997}",Wish,ChIJXShPMkfBhkcRH6dAEQuGQ2c,,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,"Corso Sempione, 5, Milano"
3528,12050,PERMANENTLY_CLOSED,"{'lat': 45.4768867, 'lng': 9.1703996}",Ristorante Seven,ChIJBbPCMkfBhkcRMfqTSjoc1q0,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Giovanni Gherardini, 1, Milano"
3529,12051,PERMANENTLY_CLOSED,"{'lat': 45.4774095, 'lng': 9.1696464}",Five Diamonds,ChIJsQDet0DBhkcR7HhTyql-YQc,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Corso Sempione, 11, Milano"
3530,12052,OPERATIONAL,"{'lat': 45.4770857, 'lng': 9.1702459}",MEZCA,ChIJme4bCAjBhkcRopmmcgs2-ac,,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",75.0,"Corso Sempione, 7, Milano"
3531,12053,OPERATIONAL,"{'lat': 45.47703970000001, 'lng': 9.170310299999999}",Spiller | Milano Sempione,ChIJX3wCXQDBhkcRk7m9i-ZhYcw,2.0,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",322.0,"Corso Sempione, 7, Milano"
