,Index,business_status,geometry,name_google,place_id,price_level_google,rating_google,types,total_reviews_google,address
1324,4875,OPERATIONAL,"{'lat': 45.450459, 'lng': 9.2202468}",Piazza salgari,ChIJ-Xvo4yvEhkcRoJcnJjcuMBg,,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",12.0,"Via Sebino, 8/12, Milano"
1325,4883,OPERATIONAL,"{'lat': 45.44990029999999, 'lng': 9.220946800000002}",Miró,ChIJeaTCEyzEhkcRua3STCsoIcc,1.0,3.7,"['cafe', 'restaurant', 'store', 'food', 'point_of_interest', 'establishment']",90.0,"Piazza Emilio Salgari, Milano"
1326,4888,OPERATIONAL,"{'lat': 45.4505262, 'lng': 9.222163699999998}",La Sirenetta,ChIJByrGdSzEhkcRB6pDbDeyDFI,1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",625.0,"Via Rodolfo Carabelli, 9, Milano"
1327,4897,PERMANENTLY_CLOSED,"{'lat': 45.4508911, 'lng': 9.2246933}",Restoranti egitziano,ChIJ98JVtvPFhkcRpalw_12Srao,,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Piazzale Vincenzo Cuoco, 4, Milano"
1328,4898,OPERATIONAL,"{'lat': 45.4508875, 'lng': 9.224735099999998}",Dream Kebab,ChIJiyXuXCvEhkcRhjknRKFaKOE,1.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",105.0,"Piazzale Vincenzo Cuoco, 4, Milano"
1329,4899,OPERATIONAL,"{'lat': 45.45166010000001, 'lng': 9.2225397}",Istanbul Kebap,ChIJp36PlyvEhkcRtuOJmqrkMSU,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Via Emilio Faà di Bruno, 14, Milano"
1330,4900,OPERATIONAL,"{'lat': 45.451716, 'lng': 9.2225513}",Pizzeria Grazie Italia,ChIJb43xlyvEhkcRjS0v6YiVE-o,1.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,"Via Emilio Faà di Bruno, 14, Milano"
1331,4901,OPERATIONAL,"{'lat': 45.45171999999999, 'lng': 9.222809999999999}",Pazarcik Atmali Kebap,ChIJPdCamCvEhkcRb50XKQy8XRk,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"14, Via Faa' Di Bruno Emilio, Milano, MI 20137, Milano"
1332,4905,OPERATIONAL,"{'lat': 45.4512462, 'lng': 9.2255889}",Las delicias,ChIJt_mTdnvFhkcRKCpKBEoizHU,,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",9.0,"Via del Turchino, 8, Milano"
1333,4908,OPERATIONAL,"{'lat': 45.4516012, 'lng': 9.2243917}",Doner Kebab,ChIJTyhXayvEhkcR9uhutTvZSB4,,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",72.0,"Viale Molise, Milano"
1334,4910,OPERATIONAL,"{'lat': 45.45069729999999, 'lng': 9.245575499999998}",Erbert Eat Right,ChIJTYmE5N7FhkcRnPILLJZYCxg,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"Via Marco Fabio Quintiliano, 25, Milano"
1335,4912,OPERATIONAL,"{'lat': 45.4501673, 'lng': 9.2493908}",INGRESSO CENA SOCIALE CDO MILANO,ChIJURVuA2rFhkcRppSDvl1UH4w,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,Milan
1336,4914,OPERATIONAL,"{'lat': 45.4493963, 'lng': 9.253268600000002}",Pizzeria Bella Alice,ChIJtytEG-HFhkcR4BD9Q7XR8R8,1.0,4.0,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",81.0,"Via Mecenate, 107, Milano"
1337,4915,OPERATIONAL,"{'lat': 45.4493663, 'lng': 9.253252000000002}",Touro Churrascaria,ChIJ5UKXC4rFhkcRYgRhPvW_0WQ,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",112.0,"Via Mecenate, 107, Milano"
