id,title,r_bubbles,r_number,cook_type,expensive
2801,2802. La Volpe e il Vino,"Punteggio 4,0 su 5",31 recensioni,"Italiana, Wine Bar",€€ - €€€
2802,2803. John Barleycorn,"Punteggio 3,5 su 5",143 recensioni,"Italiana, Birreria",€€ - €€€
2803,2804. Il Bel Giardino,"Punteggio 4,0 su 5",42 recensioni,"Cinese, Asiatica",€
2804,2805. BAOBAR,"Punteggio 3,5 su 5",214 recensioni,"Bar, Internazionale",€€ - €€€
2805,2806. Shalimar - Ristorante Indiano Halal,"Punteggio 4,0 su 5",25 recensioni,"Indiana, Pakistana",€€ - €€€
2806,2807. Pestalozzi Uno,"Punteggio 4,5 su 5",24 recensioni,"Italiana, Caffè",€
2807,2808. That's Vapore Gae Aulenti,"Punteggio 3,5 su 5",97 recensioni,"Italiana, Fast food",€€ - €€€
2808,2809. Rivington,"Punteggio 5,0 su 5",8 recensioni,"Americana, Steakhouse",?
2809,2810. TAIPY,"Punteggio 4,5 su 5",23 recensioni,"Italiana, Caffè",€
2810,2811. Punjab Restaurant,"Punteggio 3,5 su 5",242 recensioni,"Indiana, Mediorientale",€
2811,2812. Mudec Bistrot,"Punteggio 3,5 su 5",337 recensioni,"Internazionale, Italiana",€€ - €€€
2812,2813. Sapore Verace,"Punteggio 4,0 su 5",49 recensioni,"Pizza, Italiana",€
2813,2814. Monty Pizzeria,"Punteggio 4,5 su 5",25 recensioni,"Italiana, Pizza",€€ - €€€
2814,2815. Filante,"Punteggio 3,5 su 5",84 recensioni,"Italiana, Pizza",€€ - €€€
2815,2816. Torre,"Punteggio 3,5 su 5",130 recensioni,"Italiana, Pesce",€€€€
2816,2817. Garconne milano,"Punteggio 4,5 su 5",30 recensioni,Italiana,€€ - €€€
2817,2818. Fruer,"Punteggio 4,0 su 5",42 recensioni,"Italiana, Fast food",€
2818,2819. Felix Lo Basso Home & Restaurant,"Punteggio 4,0 su 5",26 recensioni,Italiana,?
2819,2820. Pizzeria Bufalina,"Punteggio 4,0 su 5",53 recensioni,"Italiana, Pizza",€
2820,2821. Original Vespucci,"Punteggio 3,5 su 5",110 recensioni,"Pizza, Italiana",€€ - €€€
2821,2822. Niuda Ramen A Mano,"Punteggio 5,0 su 5",9 recensioni,Cinese,?
2822,2823. Eataly Milano Smeraldo,"Punteggio 3,5 su 5",6.431 recensioni,"Italiana, Pizza",€€ - €€€
2823,2824. La Sana Gola,"Punteggio 3,5 su 5",105 recensioni,"Internazionale, Italiana",€€ - €€€
2824,2825. Osteria Democratica,"Punteggio 5,0 su 5",8 recensioni,Italiana,?
2825,2826. Giovanni Galli,"Punteggio 4,0 su 5",101 recensioni,€€€€,?
2826,2827. New Tredes Caffe' e Bistrot,"Punteggio 4,5 su 5",28 recensioni,"Italiana, Bar",€
2827,2828. Beergarden,"Punteggio 4,0 su 5",43 recensioni,Italiana,€€ - €€€
2828,2829. Viva BuonoFrescoNaturale,"Punteggio 4,0 su 5",46 recensioni,"Fast food, Italiana",€
2829,2830. Moby Dick 3,"Punteggio 4,0 su 5",60 recensioni,"Italiana, Pizza",€€ - €€€
2830,2831. Vintage 39,"Punteggio 4,0 su 5",23 recensioni,"Italiana, Pizza",€€ - €€€
2831,2832. Oishii,"Punteggio 3,5 su 5",116 recensioni,"Cinese, Giapponese",€€ - €€€
2832,2833. Raboucer,"Punteggio 4,5 su 5",14 recensioni,Italiana,€€ - €€€
2833,2834. Il David Bar e Ristorante,"Punteggio 4,0 su 5",44 recensioni,"Italiana, Europea",€€ - €€€
2834,"2835. L'Impasto - Pasta, pane e cucina","Punteggio 4,0 su 5",26 recensioni,"Italiana, Internazionale",€
2835,2836. El Chorillano,"Punteggio 3,5 su 5",322 recensioni,"Peruviana, Pesce",€€ - €€€
2836,2837. Quattro Stagioni Hot Pot,"Punteggio 4,5 su 5",12 recensioni,Cinese,€€ - €€€
2837,2838. Lombardo Restaurant,"Punteggio 4,5 su 5",13 recensioni,"Italiana, Pizza",?
2838,2839. Poke House - Rinascente Duomo,"Punteggio 4,0 su 5",21 recensioni,"Salutistica, Americana",€€ - €€€
2839,2840. Da Franco & Rosy,"Punteggio 4,0 su 5",24 recensioni,"Italiana, Pizza",€
2840,2841. Koi Japanese Restaurant,"Punteggio 4,0 su 5",68 recensioni,"Giapponese, Sushi",€
2841,2842. El Carajo,"Punteggio 3,5 su 5",116 recensioni,"Peruviana, Sudamericana",€
2842,2843. Ristorante Moscara Terra d'Otranto,"Punteggio 3,5 su 5",499 recensioni,"Italiana, Pizza",€€ - €€€
2843,2844. Tormaresca Vino E Cucina,"Punteggio 4,0 su 5",41 recensioni,"Italiana, Mediterranea",€€ - €€€
2844,2845. Panino Giusto Porta Romana,"Punteggio 3,5 su 5",136 recensioni,"Italiana, Bar",€€ - €€€
2845,2846. C'era Una Volta Una Piada,"Punteggio 4,0 su 5",42 recensioni,Italiana,€
2846,2847. Vizio per Natura,"Punteggio 5,0 su 5",13 recensioni,"Italiana, Mediterranea",€€ - €€€
2847,2848. Mondo Rosso,"Punteggio 4,0 su 5",58 recensioni,"Italiana, Pizza",€
