trip,similar
 Mama's Cafè,"[{'score': 100, 'google': ""Mama's Cafè"", 'formatted_google': 'mamascafè'}]"
 Majestic Cafe' Bistrot,"[{'score': 97, 'google': 'Majestic Cafè Bistrot', 'formatted_google': 'majesticcafèbistrot'}]"
 Maison Touareg,"[{'score': 93, 'google': 'La Maison Touareg', 'formatted_google': 'lamaisontouareg'}]"
 Malibù Cafè,[]
 Mama Cake,"[{'score': 100, 'google': 'Mama Cake', 'formatted_google': 'mamacake'}]"
 Malo,"[{'score': 86, 'google': 'Mao', 'formatted_google': 'mao'}]"
 Makiyo Sushi & Pizza Bovisa,"[{'score': 84, 'google': 'Makiyo Sushi & Pizza', 'formatted_google': 'makiyosushipizza'}]"
 Mama Eat Milano,"[{'score': 83, 'google': 'Magma Milano', 'formatted_google': 'magmamilano'}]"
 MamaStrEat,"[{'score': 82, 'google': 'Mama Eat', 'formatted_google': 'mamaeat'}]"
 Mamake,"[{'score': 80, 'google': 'Mama', 'formatted_google': 'mama'}, {'score': 86, 'google': 'Mama Cake', 'formatted_google': 'mamacake'}]"
 Mama Rosa,[]
 Mamma Oliva,"[{'score': 100, 'google': 'Mamma Oliva', 'formatted_google': 'mammaoliva'}]"
 Mamma Oliva,"[{'score': 100, 'google': 'Mamma Oliva', 'formatted_google': 'mammaoliva'}]"
 Mamba,"[{'score': 89, 'google': 'Mama', 'formatted_google': 'mama'}]"
 Mamma Farina,"[{'score': 100, 'google': 'Mamma Farina', 'formatted_google': 'mammafarina'}]"
 Mamajuana Restaurante,[]
 Mambo Cafè,[]
 Mamma Farina Imbonati,[]
 Mami Cafe,[]
" Mama Streat- Parental Advisory, Explicit Taste",[]
 Mamma Lievito,[]
 Mammaoliva,"[{'score': 100, 'google': 'Mamma Oliva', 'formatted_google': 'mammaoliva'}]"
 Mamma Ro Carmine,"[{'score': 100, 'google': 'Mamma Ro Carmine', 'formatted_google': 'mammarocarmine'}]"
 Mamma Orsa,[]
 Mamma Lina,"[{'score': 80, 'google': 'Mamma Farina', 'formatted_google': 'mammafarina'}, {'score': 84, 'google': 'Mamma Oliva', 'formatted_google': 'mammaoliva'}, {'score': 84, 'google': 'Mamma Oliva', 'formatted_google': 'mammaoliva'}]"
 Mamma Toscana,"[{'score': 100, 'google': 'Mamma Toscana', 'formatted_google': 'mammatoscana'}]"
 Mamma Sushi,[]
 Mandarin Garden,"[{'score': 100, 'google': 'Mandarin Garden', 'formatted_google': 'mandaringarden'}]"
 Mandarin 2,"[{'score': 100, 'google': 'Mandarin 2', 'formatted_google': 'mandarin2'}]"
 Mana Pokebar,[]
" Mamì, Storie Di Cucina Italiana","[{'score': 100, 'google': 'MAMÌ Storie di Cucina Italiana', 'formatted_google': 'mamìstoriedicucinaitaliana'}]"
" Mamusca - Caffe, libri e piccole cose",[]
 Mangal,[]
 Mangiaspaghetti,"[{'score': 100, 'google': 'MangiaSpaghetti', 'formatted_google': 'mangiaspaghetti'}]"
 Mang Isidro Chicken,"[{'score': 100, 'google': 'Mang Isidro Chicken', 'formatted_google': 'mangisidrochicken'}]"
 Manes Pub,[]
 Mammarà Bistrot Milano,"[{'score': 81, 'google': 'Bistrot Milano', 'formatted_google': 'bistrotmilano'}, {'score': 80, 'google': 'Mon Bistrot Milano', 'formatted_google': 'monbistrotmilano'}]"
 Mammina Pizzeria e Cucina Genuina,[]
 Mani In Pasta,"[{'score': 100, 'google': 'Mani in Pasta', 'formatted_google': 'maniinpasta'}]"
 Manfredi Milano,"[{'score': 80, 'google': 'Manfredi Amilcare', 'formatted_google': 'manfrediamilcare'}]"
 Mani in Pasta,"[{'score': 100, 'google': 'Mani in Pasta', 'formatted_google': 'maniinpasta'}]"
 Mani in Pasta,"[{'score': 100, 'google': 'Mani in Pasta', 'formatted_google': 'maniinpasta'}]"
 Mandarin Asian Restaurant,"[{'score': 80, 'google': 'Ci Asian Restaurant', 'formatted_google': 'ciasianrestaurant'}, {'score': 82, 'google': 'Mido Arabian Restaurant', 'formatted_google': 'midoarabianrestaurant'}, {'score': 82, 'google': 'Samar Indian restaurant', 'formatted_google': 'samarindianrestaurant'}]"
 Mangio - Pizza Al Taglio,[]
 Manhattan Navigli,[]
 Mao Hunan,[]
 Mania Tropicale,[]
 Maradona,[]
 Map Food,[]
 Manu Caffè,"[{'score': 80, 'google': 'Pan Caffé', 'formatted_google': 'pancaffé'}]"
 Maramais Cafè,"[{'score': 84, 'google': ""Mama's Cafè"", 'formatted_google': 'mamascafè'}]"
 Mappamondo Royal,"[{'score': 83, 'google': 'Mappamondo Royal Milano', 'formatted_google': 'mappamondoroyalmilano'}]"
 Maoji,"[{'score': 80, 'google': 'MAOmi', 'formatted_google': 'maomi'}]"
 Mare Blu,"[{'score': 100, 'google': 'Mare Blu', 'formatted_google': 'mareblu'}]"
 Marcellino Pane e Vino,"[{'score': 100, 'google': 'Marcellino Pane e Vino', 'formatted_google': 'marcellinopaneevino'}]"
 Mar'è - il Buon Gusto,"[{'score': 88, 'google': 'Il Buongusto', 'formatted_google': 'ilbuongusto'}, {'score': 88, 'google': 'Il buon gusto', 'formatted_google': 'ilbuongusto'}]"
 Mani In Noodles,[]
 Mare Monti,"[{'score': 82, 'google': 'Bar Monti', 'formatted_google': 'barmonti'}, {'score': 89, 'google': 'Mari & Monti', 'formatted_google': 'marimonti'}, {'score': 95, 'google': 'Mari e Monti', 'formatted_google': 'mariemonti'}]"
 Mare Culturale Urbano,"[{'score': 100, 'google': 'Mare Culturale Urbano', 'formatted_google': 'mareculturaleurbano'}]"
 Maravea,[]
 Mare d'Oro,"[{'score': 100, 'google': ""Mare D'Oro"", 'formatted_google': 'maredoro'}]"
 Marcellino Il Sarto Del Panino,[]
 Marecrudo,"[{'score': 100, 'google': 'Marecrudo', 'formatted_google': 'marecrudo'}]"
 Marcellino Il Sarto Del Panino,[]
 Mare Dentro,[]
 Mare Mosso - Osteria del Pesce,[]
 Marea Seafood & Beverage,[]
 Margy Burger,[]
 Marghe - Via Plinio,[]
 Marina sul Naviglio,[]
 Marrakech Food,"[{'score': 100, 'google': 'Marrakech Food', 'formatted_google': 'marrakechfood'}]"
 Mario Tortora - Garibaldi,[]
 Margarita Bar & Tavola Calda,[]
 Marmara Turkish KEBAP E PIZZA,"[{'score': 100, 'google': 'Marmara Turkish KEBAP E PIZZA', 'formatted_google': 'marmaraturkishkebapepizza'}]"
 Mario's Enobirreria,[]
 Market Sigma,[]
 Mare Nostro Milano - Bosco Verticale,[]
 Masaccio 18,"[{'score': 100, 'google': 'Masaccio 18', 'formatted_google': 'masaccio18'}]"
 Margot Bistrot,"[{'score': 83, 'google': '4MAT Bistrot', 'formatted_google': '4matbistrot'}, {'score': 80, 'google': 'Mo.Sto Bistrot', 'formatted_google': 'mostobistrot'}, {'score': 80, 'google': 'Ribot Bistrot', 'formatted_google': 'ribotbistrot'}]"
 Martin Cafè,"[{'score': 80, 'google': 'Art Cafè', 'formatted_google': 'artcafè'}, {'score': 80, 'google': 'Marina', 'formatted_google': 'marina'}]"
 Marghera18 Cruncheria,[]
 Maruji,[]
 Masu,"[{'score': 100, 'google': 'MASU', 'formatted_google': 'masu'}]"
 Maré,"[{'score': 80, 'google': 'Ma', 'formatted_google': 'ma'}]"
 Maré | Cucina Caffè Spiaggia Bottega,"[{'score': 100, 'google': 'Maré | cucina caffè spiaggia bottega', 'formatted_google': 'marécucinacaffèspiaggiabottega'}]"
 Masayume,[]
 Matanē,[]
 Marvy Resturant Cafè,"[{'score': 81, 'google': 'Larky restaurant caffe', 'formatted_google': 'larkyrestaurantcaffe'}]"
 Mashti,[]
 Martinique Cafe,[]
 Mathara Ambula,"[{'score': 100, 'google': 'Mathara Ambula', 'formatted_google': 'matharaambula'}]"
 Martini Bar & Bistrot Dolce&Gabbana,[]
 Mastro Tortello,[]
 Matilde,[]
 Mater Bistrot,"[{'score': 87, 'google': '4MAT Bistrot', 'formatted_google': '4matbistrot'}, {'score': 82, 'google': 'Ape Bistrot', 'formatted_google': 'apebistrot'}, {'score': 80, 'google': 'Atempo Bistrot', 'formatted_google': 'atempobistrot'}]"
 Mathilda Cafe,"[{'score': 100, 'google': 'Mathilda Cafe', 'formatted_google': 'mathildacafe'}]"
 Massimo Pisati - La Cucina,[]
 Materia - Le Origini Del Gusto,[]
 Matricola Pub,[]
 Maxi Bar,"[{'score': 100, 'google': 'Maxi Bar', 'formatted_google': 'maxibar'}]"
 Matilde Bakery,[]
 Mattarello Milano,[]
 Max Bar,"[{'score': 92, 'google': 'Maxi Bar', 'formatted_google': 'maxibar'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 Matsui Japanese Restaurant,"[{'score': 84, 'google': 'Iyu Japanese Restaurant', 'formatted_google': 'iyujapaneserestaurant'}, {'score': 94, 'google': 'Mitsui 3 Japanese Restaurant', 'formatted_google': 'mitsui3japaneserestaurant'}, {'score': 81, 'google': 'Shiny Sushi Japanese Restaurant', 'formatted_google': 'shinysushijapaneserestaurant'}]"
 Max & Nix il Copto,[]
 Mauro E Luisa,"[{'score': 95, 'google': 'Mauro & Luisa', 'formatted_google': 'mauroluisa'}]"
 Maya,[]
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 Maui Hawaiian Restaurant,[]
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 Mc Donalds Milano Piazzale Loreto,[]
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 Mc Donald's Piazza Argentina,[]
 Maximilian Bistro & Wine,"[{'score': 86, 'google': 'Maximilian Bistrot', 'formatted_google': 'maximilianbistrot'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 McDonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 Mcdonald's,"[{'score': 100, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}]"
 Meat Art,"[{'score': 100, 'google': 'MEAT ART', 'formatted_google': 'meatart'}]"
 Me.nu (Isola),[]
 Mediterraneo,"[{'score': 100, 'google': 'Mediterraneo', 'formatted_google': 'mediterraneo'}]"
 McDonald's Milano de Gasperi,[]
 McDonald’s,"[{'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 89, 'google': 'McDonald’s Milano Rogoredo', 'formatted_google': 'mcdonald’smilanorogoredo'}, {'score': 89, 'google': 'McDonald’s Sesto San Giovanni Drive', 'formatted_google': 'mcdonald’ssestosangiovannidrive'}]"
 Mediterranea Real Healthy Food,"[{'score': 100, 'google': 'Mediterranea - Real Healthy Food', 'formatted_google': 'mediterranearealhealthyfood'}]"
 Mediterraneo,"[{'score': 100, 'google': 'Mediterraneo', 'formatted_google': 'mediterraneo'}]"
 Mcdonald's Milano Oberdan,[]
 McDonald’s,"[{'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 95, 'google': ""McDonald's"", 'formatted_google': 'mcdonalds'}, {'score': 89, 'google': 'McDonald’s Milano Rogoredo', 'formatted_google': 'mcdonald’smilanorogoredo'}, {'score': 89, 'google': 'McDonald’s Sesto San Giovanni Drive', 'formatted_google': 'mcdonald’ssestosangiovannidrive'}]"
 Mediterraneo,"[{'score': 100, 'google': 'Mediterraneo', 'formatted_google': 'mediterraneo'}]"
 Meat Grill Food,[]
 Me Too Ristorante,"[{'score': 80, 'google': 'Mobe 1 Ristorante', 'formatted_google': 'mobe1ristorante'}, {'score': 80, 'google': 'Ristorante', 'formatted_google': 'ristorante'}, {'score': 87, 'google': 'mi tao ristorante', 'formatted_google': 'mitaoristorante'}]"
 Meeting,[]
 Megik Land,"[{'score': 100, 'google': 'Megik Land', 'formatted_google': 'megikland'}]"
 Mediterraneum Milano,[]
 Mediterraneo,"[{'score': 100, 'google': 'Mediterraneo', 'formatted_google': 'mediterraneo'}]"
 Meeting Bar,[]
 Meeting Cafe,[]
 Mekan Kebap,"[{'score': 100, 'google': 'Mekan Kebap', 'formatted_google': 'mekankebap'}]"
 Melò,"[{'score': 100, 'google': 'Melò', 'formatted_google': 'melò'}]"
 Meet Food & Coffee,[]
 Meeting Lounge Bar,[]
 Melaverde,[]
 Meeting Caffè,[]
 Melabevo,[]
 Memo,[]
 Mejor Milano Restaurant,"[{'score': 80, 'google': 'Memo Restaurant', 'formatted_google': 'memorestaurant'}]"
 Mercato Centrale Milano,"[{'score': 100, 'google': 'Mercato Centrale Milano', 'formatted_google': 'mercatocentralemilano'}]"
 Meneghino Birreria,"[{'score': 100, 'google': 'Meneghino Birreria', 'formatted_google': 'meneghinobirreria'}]"
 Meeting Per Elani,[]
 Mercalli 22,[]
 Melabianca,[]
 Mes Amis,"[{'score': 100, 'google': 'Mes Amis', 'formatted_google': 'mesamis'}]"
 Meravigli 13,[]
 Mercato Del Pesce,[]
 Mevlana,"[{'score': 100, 'google': 'Mevlana', 'formatted_google': 'mevlana'}]"
 Meneghino Birra e Cucina,[]
 Metropolis,"[{'score': 82, 'google': 'Metropolitan', 'formatted_google': 'metropolitan'}]"
 Meraki Milano,"[{'score': 83, 'google': 'Madera Milano', 'formatted_google': 'maderamilano'}]"
 Mercedes-Benz Cafe,[]
 Mestè Vino e Fornelli,[]
 Mercato Comunale,[]
 Meta,[]
 Mezca,"[{'score': 100, 'google': 'MEZCA', 'formatted_google': 'mezca'}]"
 Metro ricette su misura,[]
 Mexicali,"[{'score': 100, 'google': 'Mexicali', 'formatted_google': 'mexicali'}]"
 Mevlana Doner Kebab,[]
 Mevlana Kebap,"[{'score': 82, 'google': 'Mekan Kebap', 'formatted_google': 'mekankebap'}]"
 Metropolitan Restaurant,[]
 Mexico,[]
 Mevlana 2 Snc,[]
 Meydan Kebap Pizza Grill,"[{'score': 84, 'google': 'MM Kebap-pizza-grill', 'formatted_google': 'mmkebappizzagrill'}]"
 Mezè,"[{'score': 100, 'google': 'Mezè', 'formatted_google': 'mezè'}]"
 Mezzè,"[{'score': 100, 'google': 'Mezzé', 'formatted_google': 'mezzé'}]"
 Mi Pizza Milano,"[{'score': 100, 'google': 'Mi Pizza Milano', 'formatted_google': 'mipizzamilano'}]"
 Mi Casa Toasteria,"[{'score': 100, 'google': 'Mi casa Toasteria', 'formatted_google': 'micasatoasteria'}]"
 Mexicali Navigli,[]
 Mexicali di via Valtellina,[]
 Mi' Yama,"[{'score': 100, 'google': 'Miyama', 'formatted_google': 'miyama'}]"
 Mezzaluna Ristorante Pizzeria,"[{'score': 87, 'google': 'Al Meazza Ristorante Pizzeria', 'formatted_google': 'almeazzaristorantepizzeria'}, {'score': 81, 'google': 'Baia Blu Ristorante Pizzeria', 'formatted_google': 'baiabluristorantepizzeria'}, {'score': 80, 'google': 'Lo Smeraldo - Ristorante Pizzeria', 'formatted_google': 'losmeraldoristorantepizzeria'}, {'score': 80, 'google': 'Ristorante pizzeria', 'formatted_google': 'ristorantepizzeria'}, {'score': 80, 'google': 'Uno Più Ristorante Pizzeria', 'formatted_google': 'unopiùristorantepizzeria'}]"
 Mi Garba Bistrot,"[{'score': 80, 'google': 'BABA BISTROT', 'formatted_google': 'bababistrot'}]"
 Mi-Ramen Bistro,"[{'score': 100, 'google': 'Mi-Ramen Bistro', 'formatted_google': 'miramenbistro'}]"
 Mi-To,"[{'score': 100, 'google': 'Mito', 'formatted_google': 'mito'}]"
 Mi Sushi3,"[{'score': 82, 'google': 'EIMI Sushi', 'formatted_google': 'eimisushi'}, {'score': 80, 'google': 'Ji Sushi', 'formatted_google': 'jisushi'}, {'score': 80, 'google': 'My Sushi', 'formatted_google': 'mysushi'}, {'score': 82, 'google': 'Sumi Sushi', 'formatted_google': 'sumisushi'}, {'score': 88, 'google': 'Umi Sushi', 'formatted_google': 'umisushi'}]"
 MezzoMetro,[]
 Mi Tao,"[{'score': 91, 'google': 'Mi Taco', 'formatted_google': 'mitaco'}, {'score': 80, 'google': 'Minta', 'formatted_google': 'minta'}, {'score': 89, 'google': 'Mito', 'formatted_google': 'mito'}]"
 Mi Casa Toasteria - Turro,"[{'score': 86, 'google': 'Mi casa Toasteria', 'formatted_google': 'micasatoasteria'}]"
 Mi Ami - La Ravioleria Artigianale,[]
 Mi Casa Toasteria - via Savona,"[{'score': 80, 'google': 'Mi Casa Toasteria Milano', 'formatted_google': 'micasatoasteriamilano'}]"
 MiTaco,"[{'score': 100, 'google': 'Mi Taco', 'formatted_google': 'mitaco'}]"
 Mi View Restaurant,"[{'score': 80, 'google': 'Bice Restaurant', 'formatted_google': 'bicerestaurant'}, {'score': 80, 'google': 'Biet Restaurant', 'formatted_google': 'bietrestaurant'}, {'score': 83, 'google': 'MI-Nù Restaurant', 'formatted_google': 'minùrestaurant'}, {'score': 80, 'google': 'Memo Restaurant', 'formatted_google': 'memorestaurant'}, {'score': 83, 'google': 'Mia Restaurant', 'formatted_google': 'miarestaurant'}, {'score': 80, 'google': 'Same Restaurant', 'formatted_google': 'samerestaurant'}]"
 Mibio,[]
 MiB Milano - Restaurant Cafè,"[{'score': 100, 'google': 'MiB Milano - Restaurant Cafè', 'formatted_google': 'mibmilanorestaurantcafè'}]"
 Michetta Porta Nuova,"[{'score': 100, 'google': 'Michetta Porta Nuova', 'formatted_google': 'michettaportanuova'}]"
 Mianmianjudao,[]
 MiBiò bistrot,"[{'score': 80, 'google': 'Il Bistrot', 'formatted_google': 'ilbistrot'}]"
 Micrô,"[{'score': 86, 'google': 'Mirò', 'formatted_google': 'mirò'}, {'score': 86, 'google': 'Miró', 'formatted_google': 'miró'}]"
 Michele Ming Bar,[]
 Mieru Mieru,"[{'score': 100, 'google': 'Mieru Mieru', 'formatted_google': 'mierumieru'}]"
 Midge Bakery & coffee,[]
 Milano,"[{'score': 100, 'google': 'Milano', 'formatted_google': 'milano'}]"
 Mila Venti,[]
 Milano,"[{'score': 100, 'google': 'Milano', 'formatted_google': 'milano'}]"
 Miglior Kebap Di Milano,"[{'score': 100, 'google': 'Miglior Kebap Di Milano', 'formatted_google': 'migliorkebapdimilano'}]"
 Milano,"[{'score': 100, 'google': 'Milano', 'formatted_google': 'milano'}]"
 Miga - Korean Restaurant,"[{'score': 83, 'google': 'Dream Korean Restaurant', 'formatted_google': 'dreamkoreanrestaurant'}, {'score': 80, 'google': 'Ocean Restaurant', 'formatted_google': 'oceanrestaurant'}, {'score': 80, 'google': ""a'Mare Restaurant"", 'formatted_google': 'amarerestaurant'}]"
 Migjorn Café,[]
 Milano,"[{'score': 100, 'google': 'Milano', 'formatted_google': 'milano'}]"
 Mido Ristorante Arabo,[]
 Michetta's Panini Milano,[]
 Milano Cafè,"[{'score': 100, 'google': 'Milano Cafè', 'formatted_google': 'milanocafè'}]"
 Milanese Caffé,[]
 Miky's Town Coffee & Food,[]
 Milano Kebap House,"[{'score': 100, 'google': 'Milano Kebap House', 'formatted_google': 'milanokebaphouse'}]"
 Milano Kebab,[]
 Milano Cafe,"[{'score': 95, 'google': 'Milano Cafè', 'formatted_google': 'milanocafè'}]"
 Millino Food&Drink,[]
 Milano Kebap House,"[{'score': 100, 'google': 'Milano Kebap House', 'formatted_google': 'milanokebaphouse'}]"
 Minami milano,"[{'score': 100, 'google': 'Minami Milano', 'formatted_google': 'minamimilano'}]"
 Milano Conte Rosso,[]
 Milano Bistrot,"[{'score': 85, 'google': 'Bianco Bistrot', 'formatted_google': 'biancobistrot'}, {'score': 83, 'google': 'Casa Milan Bistrot', 'formatted_google': 'casamilanbistrot'}, {'score': 80, 'google': 'I loft bistrot', 'formatted_google': 'iloftbistrot'}, {'score': 82, 'google': 'Il Bistrot', 'formatted_google': 'ilbistrot'}, {'score': 80, 'google': 'Maximilian Bistrot', 'formatted_google': 'maximilianbistrot'}]"
 Milleluci,[]
 Milanoriviera,[]
 Mind the Gap,"[{'score': 100, 'google': 'Mind The Gap', 'formatted_google': 'mindthegap'}]"
 Milord Milano,[]
 Mind The Step,[]
 Mimì Gourmet,[]
 Mind / Milano,"[{'score': 82, 'google': 'INDIANO', 'formatted_google': 'indiano'}, {'score': 82, 'google': 'Maison Milano', 'formatted_google': 'maisonmilano'}, {'score': 82, 'google': 'Minami Milano', 'formatted_google': 'minamimilano'}, {'score': 82, 'google': 'Mulin de Milan', 'formatted_google': 'mulindemilan'}, {'score': 80, 'google': 'Nami Milano', 'formatted_google': 'namimilano'}]"
 Mini Sushi,"[{'score': 82, 'google': 'Jin Sushi', 'formatted_google': 'jinsushi'}, {'score': 80, 'google': 'Miyagi Sushi', 'formatted_google': 'miyagisushi'}, {'score': 82, 'google': 'Umi Sushi', 'formatted_google': 'umisushi'}]"
 Mirò Caffè,[]
 Mint Cafe,[]
 Milano Casa Curci Corso Di Porta Romana,[]
 Mini Maoji,[]
 Misaki,[]
 Mio Lab,[]
 Miro - Osteria Del Cinema,[]
 Mint Garden Cafe,"[{'score': 96, 'google': 'Mint Garden Cafè', 'formatted_google': 'mintgardencafè'}]"
 Mirror Lounge & Restaurant,"[{'score': 100, 'google': 'Mirror Lounge & Restaurant', 'formatted_google': 'mirrorloungerestaurant'}]"
 Miscusi,"[{'score': 80, 'google': 'Umi Sushi', 'formatted_google': 'umisushi'}]"
 Mirò' Bistrot Café,[]
 Miscusi,"[{'score': 80, 'google': 'Umi Sushi', 'formatted_google': 'umisushi'}]"
 Mister Bar,"[{'score': 100, 'google': 'Mister Bar', 'formatted_google': 'misterbar'}]"
 Miscusi,"[{'score': 80, 'google': 'Umi Sushi', 'formatted_google': 'umisushi'}]"
 Mister Hu,"[{'score': 100, 'google': 'Mister Hu', 'formatted_google': 'misterhu'}]"
 Missori Café,[]
 Mister Panzerotto 4,"[{'score': 100, 'google': 'Mister Panzerotto 4', 'formatted_google': 'misterpanzerotto4'}]"
 Miscusi,"[{'score': 80, 'google': 'Umi Sushi', 'formatted_google': 'umisushi'}]"
 Mister Pizza,"[{'score': 100, 'google': 'Mister Pizza', 'formatted_google': 'misterpizza'}]"
 Miscusi Bocconi,[]
 Miniera d'Oro Ristorante Pizzeria Bar,"[{'score': 80, 'google': 'Lo Smeraldo - Ristorante Pizzeria', 'formatted_google': 'losmeraldoristorantepizzeria'}]"
 Mister Pizza,"[{'score': 100, 'google': 'Mister Pizza', 'formatted_google': 'misterpizza'}]"
 Misushi restaurant,"[{'score': 100, 'google': 'MIsushi Restaurant', 'formatted_google': 'misushirestaurant'}]"
 Misushi Restaurant,"[{'score': 100, 'google': 'MIsushi Restaurant', 'formatted_google': 'misushirestaurant'}]"
 Miss Sixty Cafe,[]
 Mitsui,"[{'score': 100, 'google': 'Mitsui', 'formatted_google': 'mitsui'}]"
