trip,similar
 AltaRè,"[{'score': 80, 'google': 'Altro', 'formatted_google': 'altro'}]"
 Alto Ristorante,"[{'score': 85, 'google': 'Al Portico ristorante', 'formatted_google': 'alporticoristorante'}, {'score': 81, 'google': 'Belé Ristorante', 'formatted_google': 'beléristorante'}, {'score': 81, 'google': 'Il Timone ristorante', 'formatted_google': 'iltimoneristorante'}, {'score': 81, 'google': 'L`Agristorante', 'formatted_google': 'lagristorante'}, {'score': 80, 'google': 'La Rosa Ristorante', 'formatted_google': 'larosaristorante'}, {'score': 81, 'google': 'Max Ristorante', 'formatted_google': 'maxristorante'}, {'score': 83, 'google': 'Ristorante', 'formatted_google': 'ristorante'}, {'score': 80, 'google': 'Ristorante G', 'formatted_google': 'ristoranteg'}, {'score': 80, 'google': 'Ristorante Mò', 'formatted_google': 'ristorantemò'}, {'score': 81, 'google': ""Ta' Bonito Ristorante"", 'formatted_google': 'tabonitoristorante'}, {'score': 89, 'google': 'YAO Ristorante', 'formatted_google': 'yaoristorante'}, {'score': 83, 'google': 'mi tao ristorante', 'formatted_google': 'mitaoristorante'}]"
 Amalfitana,"[{'score': 100, 'google': 'Amalfitana', 'formatted_google': 'amalfitana'}]"
 AmaMi,"[{'score': 80, 'google': 'Amati!', 'formatted_google': 'amati'}, {'score': 80, 'google': 'MAOmi', 'formatted_google': 'maomi'}]"
 Alzaia 26,[]
 Altrimenti,"[{'score': 95, 'google': 'Altriménti', 'formatted_google': 'altriménti'}]"
 America Graffiti,"[{'score': 100, 'google': 'America Graffiti', 'formatted_google': 'americagraffiti'}]"
 Ama Dim Sum,"[{'score': 80, 'google': 'Dim Sum', 'formatted_google': 'dimsum'}]"
 Altezza Duomo,[]
 Altroke,"[{'score': 83, 'google': 'Altro', 'formatted_google': 'altro'}]"
 Amici della Pizza,"[{'score': 100, 'google': 'Amici della Pizza', 'formatted_google': 'amicidellapizza'}]"
 Amicosushi,"[{'score': 100, 'google': 'Amico Sushi', 'formatted_google': 'amicosushi'}]"
 Altravia Bistrot,[]
 Ambaradan,[]
 Amo Pizza,"[{'score': 100, 'google': 'Amo Pizza', 'formatted_google': 'amopizza'}]"
 Amaranto Bistrot Fleuri,[]
 Amadeus Bar,[]
 Amore e Gusto,"[{'score': 100, 'google': 'Amore e Gusto', 'formatted_google': 'amoreegusto'}]"
 American Bar,[]
 Altrimenti Mixology Art,[]
 Ambasciata Tarantina,[]
