id_restaurants,bubbles,title,description
7,bubble_50,,Cibo veramente buonissimo. Servizio assolutamente rapido e di qualità ci ha servito Noelia ragazza gentile e dinamica che ci ha anche consigliato delle ottime bruschette. Torneremo sicuramente.
7,bubble_50,,"Ottima cena con servizio di qualità e personale gentile e simpatico, simpaticissima Noelia. Ristorante consigliato per cena informale."
8,bubble_50,,"Sono stato in questo ristorante diverso tempo fa con la mia ragazza, scoperto assolutamente per caso. E' veramente un piccolo gioiello a Milano, mi fa immensamente piacere ritrovarlo su tripadvisor così in alto nelle classifiche dei locali della mia città. I proprietari sono una coppia,...Più"
8,bubble_50,,Non saprei da dove iniziare... La cortesia dei proprietari e la qualità della carne da 10. Ed il whisky scelta e qualità
8,bubble_50,,"Siamo stati domenica pranzo, il ristorante è gestito da marito e moglie che, oltre ad essere molto gentili, trasmettono la loro passione ai commensali. Abbiamo provato quattro piatti (pastrami, chili, verticale e brisket) così da provare un pò di tutto. E' stata un'esperienza eccelente. Dolci...Più"
8,bubble_50,,Monegi bravo cameriere gentile e cortese buona cucina consiglio a tutti posto bello e pulito prossimamente ritornare con la mia famiglia
8,bubble_50,,"Accompagnato dalla squisita cortesia dei proprietari che ti spiegano in ogni dettaglio le caratteristiche della carne, ho preso ""La verticale"" ed è stato semplicemente sublime. Ottimo l'accostamente con i pomodorini affumicati e arrostiti. Da tornarci"
8,bubble_50,,"Abbiamo preso vari tipi di piatti ed ognuno di loro è stato un'esplosione di sapori. Dolci fantastici, soprattutto il whiskimisú!"
8,bubble_50,,Senza ombra di dubbio il miglior ristorante di Milano in cui siamo stati durante questo nostro weekend meneghino. Un vero e proprio indimenticabile viaggio alla scoperta di sapori nuovi o dimenticati ed amorevolmente riportati alla luce dalla preparazione e professionalità di Lucia e Giulio. Un...Più
8,bubble_20,,"Su invito dei cordialissimi titolari siamo tornati,a differenza della scorsa volta abbiamo sicuramente apprezzato tuttavia nonostante le varieta'di carne proposte il mio palato ha comunque avvertito sempre quel grado di stopposita' alquanto fastidioso spiace davvero ma devo attribuire ancora un punteggio basso. Anche in considerazione...Più"
8,bubble_30,,"Scelto per le ottime recensioni che assolutamente confermiamo , la qualita' della carne notevole, abbinamenti particolari , servizio cordiale ma sopratutto ospitale cosa rara di questi tempi , purtroppo pero' una scelta limitata ci limita nell' attribuzione di un punteggio piu' alto.Più"
8,bubble_50,,"Di passaggio per Milano un sabato sera e volendo mangiare carne, mia moglie ed io siamo capitati quasi per caso in questo piccolo locale (non so se arriva a 20 coperti…) praticamente sotto il bosco verticale. Accoglienza famigliare dei gestori che ci hanno illustrato nel...Più"
9,bubble_50,,"Dopo una fredda giornata meneghina concludo la serata al “Marea”. Appena entrato vengo accolto dall’elegante e al tempo stesso calda atmosfera. I colori del locale, i suoi arredi e le sue piastrelle mi riportano nelle calde terre di mare. La fusion dei sapori e dei...Più"
9,bubble_50,,"Sono tornato in questo ristorante perché avvertivo la necessità di gustare nuovamente i piatti che propone. Stavolta non mi sono limitato ai miei classici piatti che normalmente prendo (tartare di tonno e tonno scottato), ma si è deciso per un percorso quasi totale e la...Più"
9,bubble_50,,"Locale molto chic con un ampio menu che propone piatti di pesce ottimi. Ad ognuno viene abbinato un cocktail adatto da sorseggiare durante la cena, ad esempio Manhattan con tiramisu. In opzione ai cockatil ottima anche la carta dei vini."
9,bubble_50,,"Consiglio di provare questo locale, servizio impeccabile e pesce cucinato (o crudo) con grande maestria. Insuperabili i mini panini alla capasanta e le mazzancolle alla mediterranea"
9,bubble_50,,"Adoro il polipo e da Marea lo trovo eccezionale, unito allo humus di ceci e le cime di rapa. La porzione è abbondante, ma ho voluto provare anche i crudi. Tutto davvero buono e leggero"
9,bubble_50,,"Fatto aperitivo da Marea con le mie amiche, quasi una cena a base di pesce ed un cocktail Martini. Tutto eccellente, mi è sembrato giusto portare a casa due porzioni di tartare per figlia e marito"
9,bubble_50,,"Dopo una cena di lavoro, sono tornata col mio compagno. La cameriere mi ha riconosciuto ed è stata una volta di più gentilissima. Abbiamo preso diversi piatti, crudi e cotti, e ce li siamo divisi. Buonissimi e gustosi, una serata di livello"
9,bubble_50,,"Ottima location per una serata indimenticabile, squisite le pietanze proposte dallo chef...assolutamente consigliato"
9,bubble_50,,"Sempre bello venire a Milano, una città che evolve. A mezzogiorno pizza napoletana molto buona, la sera abbiamo mangiato da Marea. Un locale trendy, raccolto ed accogliente. Pesce di ottima qualità con il giusto grado di alcol ad accompagnarlo. Proprio vero, a Milano c’è il...Più"
9,bubble_50,,"Cena nel ristorante decisamente raffinato con un'atmosfera piacevole. Cibo particolarmente fresco, gusti deliziosi. Torneremo sicuramente"
10,bubble_50,,"Locale caratteristico in legno molto ben curato e con luci soffuse. Panino con gusti molto ben equilibrati tra loro, falafel piacevoli e dolce tipico buonissimo. Prezzo ovviamente non da kebabbaro sotto casa, ma la qualità è al top."
10,bubble_50,,"Non sbaglia mai, tutte le volte sempre ottimo, ed anche le novità non deludono, ottime sia per Qualità che per proposta"
10,bubble_50,,"Sono stato qui diverse volte è il loro Kebab elevato a gourmet, è sempre buonissimo. Sapori delicati e ben amalgamato, diverse preparazioni di materie prime di alta qualità, sono la ragione per la quale continuare a tornare. Sia per un pranzo veloce che per una...Più"
10,bubble_50,,"Tutto buono, dal cibo ai drink. Personale sempre gentile e disponibile. Aperitivo perfetto anche per persone vegetariane."
10,bubble_50,,A cena con un amico e abbiamo preso un ottimo Nanorme e Karbonaro. Entrambi ottimi! Torneremo sicuramente per provare tutti gli altri kebab nel menù!
10,bubble_50,,"Da quando abbiamo scoperto kebabbar ci andiamo spesso ed è sempre ottimo!! Anche per una vegetariana, i falafel sono i migliori mai provati"
10,bubble_40,,È sempre bello venire qua a trovare tanti amici tanta gente cordiale divertimento buona musica e buoni cocktail kebab anche buonissimo è un ambiente molto frequentato c’è molta gente c’è fila però alla fine ne vale la pena
10,bubble_40,,"Ci sono stato tre volte dopo la trasmissione di Rugiati. E' la ""prima"" volta che il suo giudizio mi ha trovato d'accordo. E' sicuramente il migliore kebab tra quelli che ho provato. Anche le birre erano interessanti."
10,bubble_50,,Combinazioni sorprendenti tra i sapori della cucina italiana e quelli mediorientali. Ottimi sia i cocktail che i kebab.
10,bubble_50,,"I kebab che abbiamo mangiato erano davvero spettacolari! Sicuramente ritorneremo. Consigliatissimo per chi ama il genere. Il locale è un po' piccolo e l'illuminazione scarsa (però ha anche un dehor), ma per il cibo eccellente ne vale sicuramente la pena!"
11,bubble_40,,"La programmazione del nostro lungo week end milanese prevedeva una tappa da Cesarino, tra le tante visite da fare. Alla fine del viaggio, le tappe in questo locale sono state ben tre e di tutte portiamo dietro un ottimo ricordo. Panini ben farciti e molto...Più"
11,bubble_50,,Lo abbiamo scelto per un pranzo veloce e ci siamo trovati benissimo. Servizio cordiale ed ultrarapido. Ampia scelta di panini uno più buono dell'altro. Ingredienti di qualità e prezzi in linea con gli altri fast food del centro. Ultraconsigliato
11,bubble_50,,Come sempre panino buonissimo n.3 pazzesco e consigliatissimo. Materie prime ottime. A Milano è il ns preferito per un pranzo veloce!!!!
11,bubble_40,,Molto buono per un pranzo veloce panini grandi e caldi appena sfornati personale gentile. Anche la posizione dietro il Duomo. Valore aggiunto. La cassa automatica. Così il personale non ha contatto con i soldi
11,bubble_50,,"Dietro il Duomo ecco questo tesoro quasi nascosto, grande varietà di panini anche vegetariani. Servizio veloce senza pretese"
11,bubble_50,,"Dovevo venire a Milano con la mia famiglia e avevo trovato questo locale per un panino veloce Sono stato infamato dai miei familiari che hanno cercato in tutti modi di boicotarmi adducendo le più disparate motivazioni. Dopo aver cercato alternative ,ma non avendo trovato niente...Più"
11,bubble_50,,Strepitoso locale con Panini Eccezionali e Salumi da Sogno! Alina la titolare oltre ad essere una cuoca sopraffina è molto gentile ed accogliente. Consiglio davvero di provarlo. Complimenti continuate così…
11,bubble_50,,"Ci siamo trovati benissimo Servizio veloce e professionale, cibo e bevande buonissimi. Molto vicino al duomo e ottimo per un aperitivo"
11,bubble_50,,"Ottima qualità, scelta diversifica, locale accogliente, personale educato e disponibile, posizione eccezionale"
11,bubble_50,,"Ottima qualità degli ingredienti, sia dei panini che dei taglieri. Mi ci fermo ogni volta che vengo a Milano, per me è una tappa imperdibile!!"
12,bubble_50,,"Ho cenato in questo bellissimo ristorante a gennaio e ci tornerei senza ombra di dubbio. Ottimo cibo, bellissima atmosfera, personale fantastico, gentile, disponibile e molto attento al cliente, buon rapporto qualità - prezzo."
12,bubble_50,,"Accoglienza top, staff preparato , servizio eccellente Location intima e carina ,il menù degustazione da 10 portate spettacolare!! Le foto parlano da sole e Rosy la Queen vera padrona di casa !!"
12,bubble_50,,"Sono stata oggi a pranzo da Rosy. Dico da Rosy perché lei è pazzesca. Una donna fantastica, piena di luce. Ristorante bellissimo! Rispecchia la sua persona e la sua personalità dorata e piena di luce. Ma veniamo al cibo… sublime. Mai mangiato così bene in...Più"
12,bubble_50,,"Molto elegante, ottima qualità e servizio. Sushi buonissimo ed anche i piatti caldi come le capesante ed il polpo. Dalla quiete della musica di sottofondo, spesso si alzava il volume per festeggiare il festeggiabile a vari tavoli con la proprietaria Rosy che si esibiva in...Più"
12,bubble_50,,"Sono stata a cena con il mio ragazzo per festeggiare il nostro anniversario. Abbiamo fatto un po’ fatica a prenotare ma ne è valsa la pena! I piatti sono tutti buonissimi, i prezzi in linea con la qualità e la presentazione! Di gran lunga una...Più"
