Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
130, Cantine Milano Ristorante e Wine Bar,"Punteggio 4,5 su 5",701 recensioni,"Italiana, Pesce",€€€€
131, Mastro Tortello,"Punteggio 4,5 su 5",125 recensioni,"Italiana, Italiana (nord)",2.5
132, Pasta d'Autore,"Punteggio 4,5 su 5",1.274 recensioni,"Italiana, Pizza",1
133, Porcobrado Milano,"Punteggio 4,5 su 5",171 recensioni,"Italiana, Toscana",2.5
135, Gong Oriental Attitude,"Punteggio 4,5 su 5",1.030 recensioni,"Cinese, Pesce",€€€€
136, Je suis Jambon,"Punteggio 4,5 su 5",390 recensioni,"Italiana, Bar",1
137, Il Capestrano Ristorante Abruzzese,"Punteggio 4,5 su 5",1.208 recensioni,"Steakhouse, Barbecue",2.5
138, Ristorante La Brioschina,"Punteggio 4,5 su 5",156 recensioni,"Italiana, Mediterranea",€€€€
139, Taverna Greca Rebetiko,"Punteggio 4,5 su 5",271 recensioni,"Mediterranea, Greca",2.5
140, Poku Poke Place,"Punteggio 4,5 su 5",246 recensioni,"Hawaiana, Pesce",2.5
141, Il Principe dei Navigli,"Punteggio 4,5 su 5",1.911 recensioni,"Italiana, Pesce",2.5
142, Trattoria Arlati dal 1936,"Punteggio 4,5 su 5",1.366 recensioni,"Italiana, Mediterranea",2.5
143, Zibo Cuochi Itineranti,"Punteggio 4,5 su 5",347 recensioni,"Italiana, Mediterranea",2.5
144, Balafon,"Punteggio 4,5 su 5",338 recensioni,"Africana, Pesce",2.5
145, Meat Art,"Punteggio 4,5 su 5",667 recensioni,"Mediterranea, Europea",2.5
146, Ristorante Pizzeria One Way della Speranza,"Punteggio 4,5 su 5",1.163 recensioni,"Italiana, Pizza",2.5
147, La rosa dei venti,"Punteggio 4,5 su 5",924 recensioni,"Italiana, Pesce",2.5
148, MU Dimsum,"Punteggio 4,5 su 5",650 recensioni,"Cinese, Pesce",€€€€
149, Ramen Shop,"Punteggio 4,5 su 5",284 recensioni,"Giapponese, Asiatica",1
150, La Mongolfiera,"Punteggio 4,5 su 5",554 recensioni,"Italiana, Pizza",2.5
151, Crocca - Via Fiamma,"Punteggio 4,5 su 5",269 recensioni,"Italiana, Pizza",2.5
152, Gelmetti 1952,"Punteggio 5,0 su 5",96 recensioni,"Italiana, Pesce",2.5
153, Taglieri e Bicchieri,"Punteggio 4,5 su 5",486 recensioni,"Italiana, Mediterranea",2.5
154, Ristorante Berton,"Punteggio 4,5 su 5",929 recensioni,"Italiana, Pesce",€€€€
155, Sadler,"Punteggio 4,5 su 5",1.003 recensioni,"Italiana, Pesce",€€€€
156, Fishion Restaurant,"Punteggio 4,5 su 5",287 recensioni,"Pesce, Italiana",€€€€
157, Achar,"Punteggio 4,5 su 5",230 recensioni,"Asiatica, Nepalese",2.5
158, Bab,"Punteggio 4,5 su 5",223 recensioni,"Asiatica, Zuppe",2.5
159, Bomaki Sempione,"Punteggio 4,0 su 5",2.974 recensioni,"Giapponese, Brasiliana",2.5
161, Amalfitana,"Punteggio 4,5 su 5",420 recensioni,Italiana,1
162, Nico Ristorante Pizzeria,"Punteggio 4,5 su 5",374 recensioni,"Italiana, Pizza",2.5
163, Movida,"Punteggio 4,5 su 5",798 recensioni,"Italiana, Bar",2.5
164, Ristorante Il Cestino,"Punteggio 4,0 su 5",2.168 recensioni,"Italiana, Pesce",2.5
165, PaninoLAB - Tortona District,"Punteggio 4,5 su 5",636 recensioni,"Italiana, Mediterranea",2.5
167, Canter 1920,"Punteggio 4,5 su 5",591 recensioni,"Italiana, Pesce",€€€€
168, Taac Trattoria,"Punteggio 4,5 su 5",181 recensioni,"Pesce, Mediterranea",2.5
169, La Scalea,"Punteggio 4,5 su 5",378 recensioni,"Italiana, Pizza",1
170, Tigella's,"Punteggio 4,0 su 5",1.019 recensioni,"Italiana, Emiliana",2.5
171, Ristorante Glauco,"Punteggio 4,5 su 5",792 recensioni,"Italiana, Pesce",€€€€
172, Rossini,"Punteggio 4,5 su 5",984 recensioni,"Italiana, Pizza",2.5
173, Shannara 2 Da Danilo,"Punteggio 4,5 su 5",1.423 recensioni,"Pesce, Mediterranea",2.5
174, Visca Bistrot,"Punteggio 4,5 su 5",258 recensioni,"Italiana, Pesce",2.5
175, Neta,"Punteggio 4,5 su 5",204 recensioni,"Sushi, Pesce",2.5
176, Bem Brasil,"Punteggio 4,5 su 5",714 recensioni,"Barbecue, Sudamericana",2.5
177, Sauris & borc da bria,"Punteggio 4,5 su 5",442 recensioni,"Italiana, Italiana (nord)",2.5
178, Portobello,"Punteggio 4,5 su 5",941 recensioni,"Italiana, Pizza",1
179, Ristorante Le Tournedos,"Punteggio 4,5 su 5",1.706 recensioni,"Italiana, Pesce",2.5
180, Trattoria de la Trebia,"Punteggio 4,5 su 5",1.408 recensioni,"Steakhouse, Italiana",2.5
181, Il Gusto di Virdis,"Punteggio 4,5 su 5",350 recensioni,"Italiana, Mediterranea",2.5
182, Angus and More,"Punteggio 4,5 su 5",389 recensioni,"Fast food, Americana",1
183, Lungo la Notte,"Punteggio 4,5 su 5",270 recensioni,"Italiana, Steakhouse",2.5
184, Valentino Legend Milano,"Punteggio 4,5 su 5",1.369 recensioni,"Lombarda, Italiana (nord)",2.5
185, Trattoria la Vecchia Guardia,"Punteggio 4,5 su 5",1.157 recensioni,"Italiana, Salutistica",2.5
186, El barbapedana,"Punteggio 4,5 su 5",811 recensioni,"Italiana, Mediterranea",2.5
187, Stravagario Bistrot,"Punteggio 4,5 su 5",370 recensioni,"Italiana, Pesce",2.5
188," Sciura Maria panzerotti Viale Monza, 256","Punteggio 4,5 su 5",482 recensioni,"Italiana, Fast food",1
189, Da Salvatore Trattoria Siciliana,"Punteggio 4,5 su 5",787 recensioni,"Italiana, Pesce",2.5
