Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
2900, La Basilicata,"Punteggio 3,5 su 5",246 recensioni,"Italiana, Pizza",1
2901, Salumeria del Design,"Punteggio 4,0 su 5",44 recensioni,"Italiana, Birreria",2.5
2902," Combo, Milano","Punteggio 3,5 su 5",120 recensioni,"Italiana, Bar",2.5
2903, David's,"Punteggio 4,5 su 5",16 recensioni,?,1
2904, Avogado Sprint,"Punteggio 5,0 su 5",17 recensioni,Hawaiana,1
2905, Mediterraneo,"Punteggio 4,0 su 5",54 recensioni,"Italiana, Pizza",2.5
2906, Focaccino,"Punteggio 5,0 su 5",9 recensioni,"Italiana, Italiana (nord)",?
2907, Trattoria Da Armando E Christian,"Punteggio 3,5 su 5",171 recensioni,"Italiana, Pesce",2.5
2908, Pino Focaccia di Tateo Giuseppe,"Punteggio 4,5 su 5",35 recensioni,Italiana,1
2909, Hohoch,"Punteggio 4,0 su 5",54 recensioni,?,1
2910, Ristorante Jinfu,"Punteggio 3,5 su 5",244 recensioni,"Cinese, Giapponese",1
2912, Tirana 5,"Punteggio 4,5 su 5",23 recensioni,"Pizza, Italiana",1
2913, Rom'antica Milano,"Punteggio 4,0 su 5",108 recensioni,"Italiana, Pizza",1
2914, Gnulöt,"Punteggio 4,5 su 5",31 recensioni,Italiana,1
2915, L'isola Di Gennaro Esposito,"Punteggio 4,5 su 5",18 recensioni,"Napoletana, Campana",?
2916, Nettare dei Santi,"Punteggio 3,5 su 5",56 recensioni,"Italiana, Caffè",1
2918, Bellariva,"Punteggio 3,5 su 5",350 recensioni,"Italiana, Mediterranea",2.5
2919, Trattoria Milano La Fornasetta,"Punteggio 3,5 su 5",276 recensioni,"Italiana, Mediterranea",1
2920, Aloha Poké,"Punteggio 4,5 su 5",26 recensioni,"Hawaiana, Italiana",2.5
2921, The Wood Bar,"Punteggio 5,0 su 5",17 recensioni,"Italiana, Americana",2.5
2922, Il Priscio - Panzerotteria con salumi,"Punteggio 4,0 su 5",56 recensioni,"Italiana, Pizza",1
2923, Vecchia Osteria del Mare,"Punteggio 4,0 su 5",31 recensioni,"Italiana, Pesce",2.5
2924, Sushi Plus Bar,"Punteggio 4,0 su 5",39 recensioni,"Giapponese, Sushi",1
2925, I Capatosta Conchetta,"Punteggio 3,5 su 5",175 recensioni,"Italiana, Pizza",2.5
2926, Original Pizza,"Punteggio 3,5 su 5",564 recensioni,"Italiana, Pizza",2.5
2927, Café Banlieue,"Punteggio 4,5 su 5",22 recensioni,"Bar, Pub",2.5
2928, Ambasciata Tarantina,"Punteggio 4,0 su 5",76 recensioni,"Italiana, Pizza",1
2929, MI Dimsum,"Punteggio 4,0 su 5",35 recensioni,"Cinese, Asiatica",2.5
2930, Aqua&Farina,"Punteggio 3,5 su 5",182 recensioni,"Pizza, Mediterranea",2.5
2931, Il Marchese Milano,"Punteggio 4,5 su 5",10 recensioni,"Romana, Laziale",?
2932, Todos a Cuba,"Punteggio 3,5 su 5",139 recensioni,"Italiana, Bar",1
2933, BAOBAR,"Punteggio 3,5 su 5",213 recensioni,"Bar, Internazionale",2.5
2934, Trattoria da Tiberio,"Punteggio 4,0 su 5",36 recensioni,Italiana,1
2935, Hekfan Brera,"Punteggio 4,5 su 5",12 recensioni,?,?
2936, Matanē,"Punteggio 4,5 su 5",11 recensioni,Giapponese,?
2937, Jack the Brewer,"Punteggio 4,0 su 5",50 recensioni,"Bar, Italiana",1
2938, Ross & Bianch,"Punteggio 4,0 su 5",81 recensioni,"Italiana, Bar",2.5
2939, Storica Rosticceria 35,"Punteggio 4,0 su 5",61 recensioni,Italiana,1
2940, Noyi Chef,"Punteggio 4,0 su 5",56 recensioni,"Cinese, Sushi",1
2941, Ristorante Pizzeria L'Atmosfera,"Punteggio 3,5 su 5",86 recensioni,"Italiana, Pizza",2.5
2942, Pizzeria Marina,"Punteggio 4,0 su 5",53 recensioni,"Italiana, Pizza",1
2944, Sushi II,"Punteggio 3,5 su 5",167 recensioni,"Cinese, Giapponese",1
2945, Pizza A Pezzi,"Punteggio 3,5 su 5",160 recensioni,"Italiana, Pizza",1
2946, Bistrot isola,"Punteggio 4,5 su 5",27 recensioni,"Italiana, Wine Bar",2.5
2947, Bar Fusina,"Punteggio 4,5 su 5",25 recensioni,"Italiana, Bar",1
2948, Sartu,"Punteggio 4,5 su 5",26 recensioni,Italiana,1
2950, Italy Restaurant,"Punteggio 3,5 su 5",129 recensioni,Italiana,2.5
2951, Gesualdo Cafè Bistrot,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Centro europea",2.5
2952, Osteria Fiorentina,"Punteggio 4,0 su 5",53 recensioni,"Italiana, Toscana",2.5
2953, Ristorante Giapponese Sushi Sashimi Take Away,"Punteggio 4,0 su 5",52 recensioni,"Giapponese, Cinese",1
2954, Moscova 7,"Punteggio 4,0 su 5",64 recensioni,Italiana,1
2955, Maradona,"Punteggio 4,0 su 5",38 recensioni,Fast food,1
2956, Boeucc Bistrot,"Punteggio 4,5 su 5",16 recensioni,"Italiana, Mediterranea",€€€€
2957, Green Sushi,"Punteggio 4,0 su 5",116 recensioni,"Cinese, Giapponese",2.5
2958, Rosmari,"Punteggio 5,0 su 5",17 recensioni,Italiana,1
2959, Laz 61,"Punteggio 4,0 su 5",37 recensioni,"Turca, Italiana",1
2960, La Saporita,"Punteggio 4,0 su 5",62 recensioni,"Italiana, Pizza",2.5
2961, Gaya,"Punteggio 3,5 su 5",132 recensioni,"Barbecue, Coreana",2.5
2962, Viky's Burger Queen,"Punteggio 4,0 su 5",22 recensioni,"Italiana, Americana",?
2963, Casa Borella,"Punteggio 4,0 su 5",108 recensioni,"Italiana, Europea",2.5
2964, Kobe Sushi,"Punteggio 3,5 su 5",528 recensioni,"Cinese, Giapponese",1
2965," Trattoria ""Amici Miei""","Punteggio 3,5 su 5",1.468 recensioni,"Italiana, Europea",2.5
2966, Angelo's Bistrot,"Punteggio 3,5 su 5",144 recensioni,"Italiana, Mediterranea",2.5
2967, 7's Giò Farini,"Punteggio 3,5 su 5",123 recensioni,"Italiana, Bar",1
2968, Houseki Sushi,"Punteggio 4,5 su 5",13 recensioni,"Italiana, Cinese",2.5
2969, Pizzium - Milano Via Solari,"Punteggio 4,5 su 5",12 recensioni,"Pizza, Mediterranea",?
2970, Canaletto Bistrot,"Punteggio 4,0 su 5",59 recensioni,"Pesce, Italiana",?
2971, Gnam. Delizie quotidiane,"Punteggio 4,0 su 5",58 recensioni,"Italiana, Salutistica",1
2972, Pearl Oyster & Tapas,"Punteggio 5,0 su 5",9 recensioni,"Italiana, Pesce",?
2973, Bar Nicol,"Punteggio 3,5 su 5",90 recensioni,"Italiana, Caffè",2.5
2974, Ai Tre Gradini,"Punteggio 3,5 su 5",156 recensioni,"Italiana, Pizza",1
2976, Rossopomodoro,"Punteggio 3,5 su 5",286 recensioni,"Italiana, Pizza",2.5
2977, Mama Cake,"Punteggio 4,5 su 5",36 recensioni,"Caffè, Italiana",1
2978, Eimi Sushi,"Punteggio 4,0 su 5",28 recensioni,"Cinese, Giapponese",€€€€
2979, Signor Vino,"Punteggio 3,5 su 5",234 recensioni,"Italiana, Mediterranea",2.5
2980, Osteria Nanin,"Punteggio 4,0 su 5",23 recensioni,"Italiana, Italiana (nord)",?
2982, Ristorante Pizzeria Piedigrotta,"Punteggio 4,0 su 5",75 recensioni,"Italiana, Pizza",1
2983, Il Grissino,"Punteggio 3,5 su 5",237 recensioni,"Italiana, Pizza",1
2984, La Volpe e il Vino,"Punteggio 4,0 su 5",31 recensioni,"Italiana, Wine Bar",2.5
2985, Felix Lo Basso Home & Restaurant,"Punteggio 4,0 su 5",23 recensioni,Italiana,?
2986, Il Bel Giardino,"Punteggio 4,0 su 5",42 recensioni,"Cinese, Asiatica",1
2987, Fabbrica Pizzeria,"Punteggio 3,5 su 5",1.179 recensioni,"Italiana, Pizza",2.5
2988, John Barleycorn,"Punteggio 3,5 su 5",143 recensioni,"Italiana, Birreria",2.5
2989, Pestalozzi Uno,"Punteggio 4,5 su 5",24 recensioni,"Italiana, Caffè",1
2990, Shalimar - Ristorante Indiano Halal,"Punteggio 4,0 su 5",25 recensioni,"Indiana, Pakistana",2.5
2991, Quattro Mori,"Punteggio 3,5 su 5",598 recensioni,"Italiana, Pesce",2.5
2992, Rivington,"Punteggio 5,0 su 5",8 recensioni,Americana,?
2993, That's Vapore Gae Aulenti,"Punteggio 3,5 su 5",97 recensioni,"Italiana, Fast food",2.5
2994, TAIPY,"Punteggio 4,5 su 5",23 recensioni,"Italiana, Caffè",1
2995, Birrificio Belgrano,"Punteggio 4,0 su 5",35 recensioni,"Birreria, Bar",2.5
2996, Punjab Restaurant,"Punteggio 3,5 su 5",242 recensioni,"Indiana, Mediorientale",1
2997, Mudec Bistrot,"Punteggio 3,5 su 5",336 recensioni,"Internazionale, Italiana",2.5
2998, Monty Pizzeria,"Punteggio 4,5 su 5",25 recensioni,"Italiana, Pizza",2.5
2999, Sapore Verace,"Punteggio 4,0 su 5",49 recensioni,"Pizza, Italiana",1
3000, Garconne milano,"Punteggio 4,5 su 5",30 recensioni,Italiana,2.5
3001, Filante,"Punteggio 3,5 su 5",84 recensioni,"Italiana, Pizza",2.5
3002, Torre,"Punteggio 3,5 su 5",130 recensioni,"Italiana, Pesce",€€€€
3003, En,"Punteggio 3,5 su 5",258 recensioni,"Cinese, Giapponese",1
3004, Fruer,"Punteggio 4,0 su 5",42 recensioni,"Italiana, Fast food",1
3005, Pizzeria Bufalina,"Punteggio 4,0 su 5",53 recensioni,"Italiana, Pizza",1
3006, Niuda Ramen A Mano,"Punteggio 5,0 su 5",9 recensioni,Cinese,?
3008, Original Vespucci,"Punteggio 3,5 su 5",110 recensioni,"Pizza, Italiana",2.5
3009, Osteria Democratica,"Punteggio 5,0 su 5",8 recensioni,Italiana,?
3010, La Sana Gola,"Punteggio 3,5 su 5",105 recensioni,"Internazionale, Italiana",2.5
3011, Miu - Sapori D'oriente,"Punteggio 3,5 su 5",229 recensioni,"Cinese, Giapponese",2.5
3012, New Tredes Caffe' e Bistrot,"Punteggio 4,5 su 5",28 recensioni,"Italiana, Bar",1
3014, Beergarden,"Punteggio 4,0 su 5",43 recensioni,Italiana,2.5
3015, Giovanni Galli,"Punteggio 4,0 su 5",101 recensioni,€€€€,?
3016, Viva BuonoFrescoNaturale,"Punteggio 4,0 su 5",46 recensioni,"Fast food, Italiana",1
3017, Moby Dick 3,"Punteggio 4,0 su 5",60 recensioni,"Italiana, Pizza",2.5
3018, Domus,"Punteggio 4,5 su 5",19 recensioni,Italiana,2.5
3019, Raboucer,"Punteggio 4,5 su 5",14 recensioni,Italiana,2.5
3020, Vintage 39,"Punteggio 4,0 su 5",23 recensioni,"Italiana, Pizza",2.5
3021, Il David Bar e Ristorante,"Punteggio 4,0 su 5",44 recensioni,"Italiana, Europea",2.5
3022, Oishii,"Punteggio 3,5 su 5",116 recensioni,"Cinese, Giapponese",2.5
3023, Quattro Stagioni Hot Pot,"Punteggio 4,5 su 5",12 recensioni,Cinese,2.5
3024, Lombardo Restaurant,"Punteggio 4,5 su 5",13 recensioni,"Italiana, Pizza",?
3025, Poke House - Rinascente Duomo,"Punteggio 4,0 su 5",21 recensioni,"Salutistica, Americana",2.5
3026, Da Franco & Rosy,"Punteggio 4,0 su 5",24 recensioni,"Italiana, Pizza",1
3027, El Carajo,"Punteggio 3,5 su 5",116 recensioni,"Peruviana, Sudamericana",1
3028, Ristorante Moscara Terra d'Otranto,"Punteggio 3,5 su 5",499 recensioni,"Italiana, Pizza",2.5
3029, Panino Giusto Porta Romana,"Punteggio 3,5 su 5",136 recensioni,"Italiana, Bar",2.5
3030, Vizio per Natura,"Punteggio 5,0 su 5",13 recensioni,"Italiana, Mediterranea",2.5
3031, Tamandi Corso Garibaldi,"Punteggio 4,0 su 5",76 recensioni,"Italiana, Pizza",1
3032, C'era Una Volta Una Piada,"Punteggio 4,0 su 5",42 recensioni,Italiana,1
3033, Mondo Rosso,"Punteggio 4,0 su 5",58 recensioni,"Italiana, Pizza",1
3034, Fab,"Punteggio 4,0 su 5",35 recensioni,?,2.5
3035, Pane & Trita - Porta Romana,"Punteggio 4,0 su 5",20 recensioni,"Italiana, Americana",?
3036, Arena Bistrot,"Punteggio 4,0 su 5",57 recensioni,"Wine Bar, Italiana",?
3037, Subway Pub,"Punteggio 4,5 su 5",31 recensioni,?,1
3038, Reginella,"Punteggio 3,5 su 5",84 recensioni,"Italiana, Pizza",€€€€
3040, Langosteria,"Punteggio 4,0 su 5",50 recensioni,"Italiana, Pesce",€€€€
3041, Dito Divino,"Punteggio 4,0 su 5",65 recensioni,Italiana,1
3042, Fang Jong,"Punteggio 3,5 su 5",104 recensioni,"Cinese, Pesce",1
3043, Ristorante Self Service Chery,"Punteggio 4,0 su 5",49 recensioni,"Italiana, Bar",1
3044, Garden City,"Punteggio 3,5 su 5",137 recensioni,"Italiana, Pizza",1
3046, IUTA Bistrot,"Punteggio 3,5 su 5",290 recensioni,"Italiana, Mediterranea",2.5
3047, El Chorillano,"Punteggio 3,5 su 5",321 recensioni,"Peruviana, Pesce",2.5
3048, 1848 Sandwiches & Delicious,"Punteggio 4,0 su 5",88 recensioni,"Italiana, Caffè",1
3049, Bob,"Punteggio 4,0 su 5",89 recensioni,"Cinese, Fusion",2.5
3050, TEN Restaurant Milano Tito Livio,"Punteggio 4,5 su 5",23 recensioni,"Italiana, Pizza",2.5
3051, Le Capannelle,"Punteggio 3,5 su 5",124 recensioni,"Italiana, Pizza",2.5
3052, L’Egizio Bar e Ristorante,"Punteggio 4,0 su 5",49 recensioni,"Araba, Mediterranea",2.5
3053, Magentino,"Punteggio 3,5 su 5",110 recensioni,"Italiana, Mediterranea",2.5
3054, Tag Café By Orapesce,"Punteggio 5,0 su 5",8 recensioni,"Italiana, Europea",?
3055, Impossible Bar,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Internazionale",1
3056, La Puccieria,"Punteggio 4,5 su 5",14 recensioni,"Italiana, Fast food",2.5
3057, Caffè Egeo,"Punteggio 4,0 su 5",57 recensioni,"Americana, Italiana",2.5
3058, Cose buone,"Punteggio 4,0 su 5",41 recensioni,"Italiana, Pizza",1
3059, Stelline Caffè&Gourmandises,"Punteggio 4,0 su 5",47 recensioni,"Pizza, Italiana",2.5
3060, Osteria del Mare L. Cantoni,"Punteggio 4,0 su 5",50 recensioni,"Mediterranea, Italiana",2.5
3061, La Padelletta,"Punteggio 4,0 su 5",45 recensioni,"Italiana, Pizza",1
3062, My Heart Gluten Free,"Punteggio 5,0 su 5",9 recensioni,?,?
3063, Don Luigi,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Siciliana",2.5
3064, Mzmtr Milano,"Punteggio 4,0 su 5",34 recensioni,"Italiana, Pizza",2.5
3065, Cagiada - Laghetto,"Punteggio 4,5 su 5",10 recensioni,"Italiana, Pizza",?
3066, NIMA Sushi (Milano - Corso Sempione),"Punteggio 3,5 su 5",266 recensioni,"Giapponese, Sushi",€€€€
3067, La Forgiatura Bistró,"Punteggio 4,0 su 5",48 recensioni,"Italiana, Pizza",2.5
3068, Il Monello,"Punteggio 4,5 su 5",24 recensioni,Italiana,1
3069, Latin Note,"Punteggio 4,0 su 5",57 recensioni,"Internazionale, Italiana",2.5
3070, Bubu Fiaschetteria Toscana,"Punteggio 4,5 su 5",26 recensioni,"Italiana, Wine Bar",1
3072, Square food cafè,"Punteggio 4,0 su 5",26 recensioni,"Italiana, Caffè",1
3073, Trattoria Casottel,"Punteggio 3,5 su 5",386 recensioni,"Italiana, Lombarda",2.5
3074, Magnaki Arena,"Punteggio 3,5 su 5",66 recensioni,"Sushi, Italiana",2.5
3075, Ristorante Hotel Milano Scala,"Punteggio 4,0 su 5",112 recensioni,Italiana,2.5
3076, Ristorante Lobster & More,"Punteggio 4,0 su 5",28 recensioni,"Italiana, Pesce",2.5
3078, Trattoria A Casa Nostra,"Punteggio 3,5 su 5",81 recensioni,"Italiana, Lombarda",1
3079, Gattopardo 2,"Punteggio 3,5 su 5",153 recensioni,"Italiana, Pesce",2.5
3080, Cigno nero,"Punteggio 4,0 su 5",41 recensioni,"Caffè, Italiana",2.5
3081, Ciciarà,"Punteggio 4,0 su 5",40 recensioni,Italiana,2.5
3082, Metropolis,"Punteggio 4,0 su 5",50 recensioni,"Italiana, Pizza",1
3083, THUN Caffé,"Punteggio 4,0 su 5",100 recensioni,"Italiana, Caffè",2.5
3084, Sapo Ré,"Punteggio 3,5 su 5",127 recensioni,"Italiana, Pizza",2.5
3085, Frank Pummarola,"Punteggio 3,5 su 5",180 recensioni,"Italiana, Pizza",2.5
3086, Melabevo,"Punteggio 4,5 su 5",28 recensioni,"Italiana, Wine Bar",2.5
3087, Panino Giusto Stazione Centrale,"Punteggio 3,5 su 5",381 recensioni,"Caffè, Fast food",2.5
3088, Cunza,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Emiliana",2.5
3089, TA-TTÀ LA POLPETTERIA,"Punteggio 4,0 su 5",28 recensioni,"Italiana, Fast food",1
3090, Tap,"Punteggio 4,0 su 5",50 recensioni,"Italiana, Americana",1
3091, Procacci Milano,"Punteggio 4,0 su 5",78 recensioni,"Italiana, Mediterranea",2.5
3092, Felix,"Punteggio 4,0 su 5",52 recensioni,"Caffè, Bar",2.5
3093, Pizzeria Ennio,"Punteggio 4,5 su 5",27 recensioni,"Pizza, Italiana",1
3094, Mêvan Ke-Pub,"Punteggio 5,0 su 5",9 recensioni,"Italiana, Bar",1
3095, Il Casolino,"Punteggio 4,5 su 5",19 recensioni,Italiana,2.5
3096, Iron Birds,"Punteggio 4,0 su 5",24 recensioni,"Italiana, Bar",?
3097, Solo pizza - Via Friuli,"Punteggio 4,0 su 5",24 recensioni,"Italiana, Pizza",2.5
3098, Hotel Tocq,"Punteggio 4,0 su 5",69 recensioni,Internazionale,2.5
3099," L'Impasto - Pasta, pane e cucina","Punteggio 4,0 su 5",26 recensioni,"Italiana, Internazionale",1
3100, Cambiopizza,"Punteggio 4,5 su 5",23 recensioni,"Pizza, Italiana",?
3101, La Cascata,"Punteggio 3,5 su 5",65 recensioni,"Italiana, Cinese",1
3102, Caffé Carducci,"Punteggio 4,0 su 5",55 recensioni,"Bar, Caffè",1
3104, Vòce Aimo e Nadia,"Punteggio 3,5 su 5",276 recensioni,"Italiana, Mediterranea",€€€€
3105, Cucca - Cucina e Caffe,"Punteggio 4,0 su 5",90 recensioni,"Italiana, Contemporanea",2.5
3106, Bul,"Punteggio 4,0 su 5",33 recensioni,"Italiana, Salutistica",2.5
3107, Bar Trattoria Nova,"Punteggio 4,0 su 5",28 recensioni,Italiana,1
3108, Il Basilico Fresco,"Punteggio 4,0 su 5",34 recensioni,"Pizza, Italiana",2.5
3110, Magma Milano,"Punteggio 4,0 su 5",22 recensioni,"Italiana, Pizza",?
3111, Il Diamante del Mare,"Punteggio 5,0 su 5",9 recensioni,?,?
3112, Bar Tender,"Punteggio 3,5 su 5",122 recensioni,"Italiana, Europea",1
3113, Time Out Isola,"Punteggio 3,5 su 5",54 recensioni,"Italiana, Pizza",2.5
3114, Au Vieux Strasbourg,"Punteggio 3,5 su 5",207 recensioni,"Italiana, Bar",1
3115, duomo dal 1952,"Punteggio 3,5 su 5",699 recensioni,Italiana,2.5
3116, Mediterranea Real Healthy Food,"Punteggio 5,0 su 5",8 recensioni,"Italiana, Mediterranea",2.5
3117, Miss Sixty Cafe,"Punteggio 3,5 su 5",72 recensioni,"Italiana, Bar",2.5
3118, Tramezzineria,"Punteggio 4,0 su 5",44 recensioni,Italiana,1
3119, Boom Milano,"Punteggio 4,0 su 5",105 recensioni,"Bar, Pub",1
3120, Pokéria by NIMA (Milano - XXV Aprile),"Punteggio 4,5 su 5",15 recensioni,"Fast food, Hawaiana",2.5
3121, Ravioleria Hui Hui,"Punteggio 4,0 su 5",17 recensioni,Cinese,2.5
3122, La Botte,"Punteggio 4,0 su 5",51 recensioni,"Italiana, Pizza",2.5
3123, Caffè Picchio,"Punteggio 4,0 su 5",81 recensioni,Bar,1
3124, Bar Gioia,"Punteggio 4,0 su 5",26 recensioni,"Bar, Pub",1
3125, Sphera Locura,"Punteggio 4,5 su 5",20 recensioni,?,1
3126, Ristorante Mezzo,"Punteggio 4,0 su 5",14 recensioni,?,2.5
3127, MamaStrEat,"Punteggio 4,0 su 5",140 recensioni,"Messicana, Latino americana",1
3128, Pasta Fresca Democratica,"Punteggio 4,0 su 5",24 recensioni,"Italiana, Fast food",1
3129, La Vera Pizza Di Ceku Shkelqim,"Punteggio 4,5 su 5",19 recensioni,"Italiana, Pizza",1
3130, 41 Wine Bar & More,"Punteggio 4,5 su 5",12 recensioni,"Italiana, Caffè",2.5
3131, Giardino d'oro,"Punteggio 3,5 su 5",59 recensioni,"Cinese, Pizza",1
3132, La Vineria 2,"Punteggio 4,0 su 5",44 recensioni,Italiana,1
3133, Missori Café,"Punteggio 4,5 su 5",21 recensioni,"Italiana, Bar",1
3134, The Garden by Boscogrosso,"Punteggio 3,5 su 5",64 recensioni,"Italiana, Barbecue",2.5
3136, Fashion Bar Milano,"Punteggio 4,5 su 5",19 recensioni,Italiana,1
3137, Meeting Per Elani,"Punteggio 5,0 su 5",7 recensioni,"Bar, Pub",?
3138, Trattoria Pizzeria La Carrozza,"Punteggio 4,0 su 5",18 recensioni,"Pizza, Italiana",1
3139, Billy's Place,"Punteggio 4,0 su 5",18 recensioni,"Pizza, Grill",?
3140, San Michele 2,"Punteggio 3,5 su 5",186 recensioni,"Italiana, Pizza",1
3142, Ristorante Alla Collina Pistoiese,"Punteggio 3,5 su 5",486 recensioni,"Italiana, Mediterranea",2.5
3143, Hanoi,"Punteggio 4,0 su 5",31 recensioni,"Vietnamita, Pesce",2.5
3144, Locanda Da Vinci,"Punteggio 3,5 su 5",207 recensioni,"Bar, Europea",1
3145, Koi Japanese Restaurant,"Punteggio 4,0 su 5",65 recensioni,"Giapponese, Sushi",1
3146, Il Panino Ignorante Gourmet,"Punteggio 4,0 su 5",65 recensioni,Italiana,1
3147, Hanabi Restaurant,"Punteggio 3,5 su 5",163 recensioni,"Giapponese, Sushi",2.5
3148, Naturalmente,"Punteggio 4,0 su 5",58 recensioni,Zuppe,1
3149, Ristoro Monterosso,"Punteggio 4,0 su 5",25 recensioni,"Italiana, Pizza",1
3150, Pesce d’oro,"Punteggio 4,5 su 5",13 recensioni,"Italiana, Mediterranea",2.5
3151, Ristorante - Pizzeria San Marco,"Punteggio 3,5 su 5",131 recensioni,"Italiana, Pizza",1
3152, Laguna Blu,"Punteggio 3,5 su 5",135 recensioni,"Italiana, Pizza",1
3153, Restaurant Wen Xiang,"Punteggio 4,0 su 5",43 recensioni,"Cinese, Giapponese",1
3154, Mare Blu,"Punteggio 3,5 su 5",68 recensioni,"Italiana, Pesce",1
3155, Yankee,"Punteggio 4,5 su 5",17 recensioni,"Italiana, Bar",2.5
3156, Le Combattenti,"Punteggio 4,0 su 5",68 recensioni,Italiana,1
3157, Atempo - Contemporary Seasonal Bistrot,"Punteggio 4,5 su 5",9 recensioni,"Italiana, Mediterranea",2.5
3158, BOUL & CO,"Punteggio 4,5 su 5",13 recensioni,"Pesce, Asiatica",1
3159, Hole In One,"Punteggio 4,5 su 5",19 recensioni,Italiana,1
3160, Tyche Greek Pita Gyros,"Punteggio 4,0 su 5",40 recensioni,"Greca, Fast food",1
3161, Pizzeria San Gennaro,"Punteggio 3,5 su 5",149 recensioni,"Italiana, Pizza",1
3162, le banque,"Punteggio 3,5 su 5",423 recensioni,"Italiana, Mediterranea",1
3163, Koshin,"Punteggio 3,5 su 5",137 recensioni,"Cinese, Sushi",1
3164, Davet Kebap-Pizza-Grill,"Punteggio 4,5 su 5",10 recensioni,Turca,1
3165, Lissana Milano,"Punteggio 3,5 su 5",98 recensioni,"Italiana, Pizza",2.5
3166, Vietnamonamour Taramelli,"Punteggio 3,5 su 5",72 recensioni,"Pesce, Asiatica",2.5
3168, Mu Paolo Sarpi,"Punteggio 4,5 su 5",16 recensioni,"Cinese, Italiana",1
3169, Il Cantiniere ristorante -pizzeria,"Punteggio 4,0 su 5",63 recensioni,"Italiana, Pizza",€€€€
3170, Ristorante Wakou,"Punteggio 4,0 su 5",58 recensioni,"Cinese, Giapponese",2.5
3171, Buongiorno Milano,"Punteggio 4,0 su 5",30 recensioni,Caffè,1
3172, La Piadina di Susy,"Punteggio 4,0 su 5",31 recensioni,"Italiana, Caffè",1
3174, Outlet Dolciario Via Torino,"Punteggio 4,0 su 5",59 recensioni,?,1
3175, Light Sushi Restaurant,"Punteggio 4,0 su 5",28 recensioni,?,?
3176, Bubu Fiaschetteria Toscana,"Punteggio 4,5 su 5",22 recensioni,"Italiana, Mediterranea",2.5
3177, Ristorante Donati,"Punteggio 3,5 su 5",196 recensioni,"Contemporanea, Italiana",2.5
3178, El Idolo 2,"Punteggio 4,0 su 5",93 recensioni,"Pesce, Ecuadoregna",2.5
3179, Pizzeria Rimon,"Punteggio 4,0 su 5",27 recensioni,"Pizza, Italiana",1
3180, Osteria Don,"Punteggio 4,0 su 5",27 recensioni,Italiana,1
3181, Enoteca Max's Wine,"Punteggio 4,5 su 5",31 recensioni,"Italiana, Internazionale",1
3182, Tyson cafe',"Punteggio 4,5 su 5",24 recensioni,"Italiana, Bar",2.5
3183, Crowne Plaza,"Punteggio 4,0 su 5",35 recensioni,"Italiana, Europea",2.5
3184, Assaje,"Punteggio 3,5 su 5",85 recensioni,"Pizza, Italiana",?
3185, Batong restaurant,"Punteggio 4,0 su 5",38 recensioni,"Cinese, Asiatica",2.5
3186, Meravigli 13,"Punteggio 4,0 su 5",56 recensioni,"Italiana, Bar",1
3187, 3b Burger Beer Bitter,"Punteggio 5,0 su 5",8 recensioni,"Bar, Fast food",2.5
3188, Church 81,"Punteggio 4,0 su 5",34 recensioni,"Italiana, Mediterranea",2.5
3189, Apuliami,"Punteggio 4,5 su 5",25 recensioni,Italiana,2.5
3190, Hosteria Marechiaro,"Punteggio 4,5 su 5",17 recensioni,"Italiana, Pesce",2.5
3191, L'Ambrata The Italian Pub,"Punteggio 5,0 su 5",7 recensioni,?,?
3192, Bar Pizzeria Cristian,"Punteggio 4,0 su 5",30 recensioni,"Italiana, Pizza",1
3193, PanBolla,"Punteggio 4,0 su 5",51 recensioni,"Italiana, Pizza",2.5
3194, Ralph's Milano,"Punteggio 3,5 su 5",154 recensioni,"Italiana, Europea",2.5
3195, Visconti 22,"Punteggio 4,0 su 5",17 recensioni,"Italiana, Pizza",1
3196, Walden Cafè Milano,"Punteggio 4,0 su 5",29 recensioni,?,2.5
3197, Fima,"Punteggio 4,5 su 5",20 recensioni,Italiana,2.5
3198, Pizza Ok & Fish,"Punteggio 3,5 su 5",180 recensioni,"Italiana, Pizza",2.5
3200, Pasta Mi,"Punteggio 5,0 su 5",10 recensioni,"Italiana, Fast food",1
3201, Il Borgo,"Punteggio 3,5 su 5",66 recensioni,"Italiana, Pizza",2.5
3202, Porkettiamo,"Punteggio 4,0 su 5",17 recensioni,"Romana, Laziale",2.5
3203, Il Regno di Napoli Srl,"Punteggio 4,0 su 5",59 recensioni,"Italiana, Pizza",2.5
3204, I Capatosta Viale Umbria,"Punteggio 3,5 su 5",100 recensioni,"Italiana, Pizza",2.5
3206, Segrino SRL La Rotonda di Segrino,"Punteggio 3,5 su 5",378 recensioni,"Italiana, Pizza",2.5
3207, CÖR Italian Restaurant,"Punteggio 4,0 su 5",50 recensioni,"Italiana, Pesce",€€€€
3208, La Birreria Italiana Milano Darsena,"Punteggio 3,5 su 5",314 recensioni,"Italiana, Bar",1
3209, Las Vegas Ristopub,"Punteggio 3,5 su 5",104 recensioni,"Italiana, Pub",2.5
