title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,6012,Pizzeria il Faraone,1.0,4.0,91.0,"Via Orti, 7, Milano","via orti, 7, milano"
,,,,6013,Non solo caffè,,4.4,41.0,"Via Orti, 4, Milano","via orti, 4, milano"
,,,,6016,Ma Che Ce Frega,,3.2,420.0,"Corso di Porta Romana, 106, Milano","corso di porta romana, 106, milano"
,,,,6017,The Roll Station,,4.4,53.0,"Corso di Porta Romana, 94, Milano","corso di porta romana, 94, milano"
,,,,6018,Mang Isidro Chicken,,3.3,3.0,"Corso di Porta Romana, 94, Milano","corso di porta romana, 94, milano"
,,,,6019,Turkish Kebab,1.0,4.0,94.0,"Corso di Porta Romana, 83, Milano","corso di porta romana, 83, milano"
,,,,6020,Steak it Easy,,4.9,68.0,"Corso di Porta Romana, 79, Milano","corso di porta romana, 79, milano"
,,,,6021,ATA Kebab Pizza,1.0,4.0,85.0,"Corso di Porta Romana, 79, Milano","corso di porta romana, 79, milano"
,,,,6022,Lacerba,2.0,4.5,2154.0,"Via Orti, 4, Milano","via orti, 4, milano"
,,,,6023,La Bettola di Piero,2.0,4.4,658.0,"Via Orti, 17, Milano","via orti, 17, milano"
,,,,6024,Ristorante Gli Orti del Belvedere,2.0,4.4,434.0,"Via Orti, 10, Milano","via orti, 10, milano"
,,,,6029,Gennaro Esposito Milano - Pizzeria e cucina tipica napoletana,2.0,4.1,863.0,"Via della Commenda, 43, Milano","via della commenda, 43, milano"
,,,,6037,Dolcevita - Pasticceria con cucina,,4.4,46.0,"Via Orti, 12, Milano","via orti, 12, milano"
,,,,6038,Casa Curci,2.0,4.6,157.0,"Corso di Porta Romana, 103, Milano","corso di porta romana, 103, milano"
,,,,6039,Banaras,,4.7,110.0,"Via Orti, 2, Milano","via orti, 2, milano"
,,,,6040,🍔 The Alley - Street Food,,4.4,27.0,"Via Orti, 7, Milano","via orti, 7, milano"
,,,,6041,Montesoprano,2.0,4.7,250.0,"Via Orti, 7, Milano","via orti, 7, milano"
,,,,6045,Cueva Maya,2.0,4.0,668.0,"Viale Monte Nero, 19, Milano","viale monte nero, 19, milano"
